-- Logs begin at Thu 2023-06-15 14:56:41 UTC, end at Thu 2023-06-15 16:04:07 UTC. --
Jun 15 15:50:53 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Jun 15 15:50:54 ubuntu dstat.sh[95741]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Jun 15 15:50:54 ubuntu dstat.sh[95741]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jun 15 15:50:54 ubuntu dstat.sh[95741]: 15-06 15:50:54|                   | 881M 1309M  198M 5226M|           |           |           |           |0.92 0.74 0.57|1.0   0    |           |   0     0 |  8    4    0    9    2
Jun 15 15:50:55 ubuntu dstat.sh[95741]: 15-06 15:50:55| 11  19  69   0   0| 882M 1308M  198M 5227M| 177k 7052 |   0   727k|   0  25.0 |2574  3994 |0.92 0.74 0.57|1.0   0 347|   0     0 |   0     0 |  8    4    0    9    2
Jun 15 15:50:56 ubuntu dstat.sh[95741]: 15-06 15:50:56| 15  18  64   1   1| 884M 1305M  198M 5227M|  63k 5205 |   0   476k|   0  20.0 |2500  3882 |0.92 0.74 0.57|1.0   0 343|   0     0 |   0     0 |  8    4    0    8    2
Jun 15 15:50:57 ubuntu dstat.sh[95741]: 15-06 15:50:57| 17  18  63   0   0| 863M 1325M  198M 5228M| 148k 5866 |   0   813k|   0  19.0 |3894  6682 |0.84 0.72 0.57|3.0   0 219|   0     0 |   0     0 |  8    4    0    8    2
Jun 15 15:50:58 ubuntu dstat.sh[95741]: 15-06 15:50:58| 20  16  62   0   0|1009M 1178M  198M 5350M|  65k 6310 |   0   471k|   0  8.99 |4804  9013 |0.84 0.72 0.57|  0   0 104|   0     0 |   0     0 |  9    4    0    8    2
Jun 15 15:50:59 ubuntu dstat.sh[95741]: 15-06 15:50:59| 10   7  83   0   0|1015M 1173M  198M 5350M|  51k 6274 |   0   404k|   0  12.0 |1553  2236 |0.84 0.72 0.57|1.0   0  91|   0     0 |   0     0 |  9    6    0    8    2
Jun 15 15:51:00 ubuntu dstat.sh[95741]: 15-06 15:51:00| 20  11  68   1   0|1014M 1173M  198M 5351M|  88k   18k|   0   632k|   0  30.0 |1978  2924 |0.84 0.72 0.57|1.0   0 177|   0     0 |   0     0 |  9    6    0   10    2
Jun 15 15:51:01 ubuntu dstat.sh[95741]: 15-06 15:51:01| 28   4  67   0   0|1076M 1111M  198M 5351M|  57k 6121 |   0  1278k|   0  24.0 |1220  1644 |0.84 0.72 0.57|1.0   0  19|   0     0 |   0     0 |  9    6    0   10    2
Jun 15 15:51:02 ubuntu dstat.sh[95741]: 15-06 15:51:02| 24   3  71   2   0|1079M 1106M  198M 5352M|  57k 5477 |  44k 2820k|6.00  26.0 |1244  1579 |0.86 0.73 0.57|1.0   0   0|   0     0 |   0     0 |  9    6    0   10    2
Jun 15 15:51:03 ubuntu dstat.sh[95741]: 15-06 15:51:03| 19   2  65  12   0|1098M 1086M  198M 5353M| 149k   19k|   0  6823k|   0   527 |3637  6972 |0.86 0.73 0.57|3.0 1.0  11|   0     0 |   0     0 |  9    8    0   10    2
Jun 15 15:51:04 ubuntu dstat.sh[95741]: 15-06 15:51:04|  9   2  65  21   1|1099M 1079M  199M 5359M|1545k   15k|   0    13M|   0   870 |5406    10k|0.86 0.73 0.57|2.0   0 4.0|   0     0 |   0     0 |  9    8    0   10    2
Jun 15 15:51:05 ubuntu dstat.sh[95741]: 15-06 15:51:05| 13   3  58  23   0|1107M 1068M  199M 5361M| 626k   17k|   0    14M|   0  1025 |6413    11k|0.86 0.73 0.57|  0 1.0  19|   0     0 |   0     0 |  9    8    0   10    2
Jun 15 15:51:06 ubuntu dstat.sh[95741]: 15-06 15:51:06| 10   4  57  26   0|1108M 1065M  200M 5363M| 105k   12k|   0    19M|   0  1349 |7604    13k|0.86 0.73 0.57|1.0   0  19|   0     0 |   0     0 |  9    8    0   10    2
Jun 15 15:51:07 ubuntu dstat.sh[95741]: 15-06 15:51:07| 16   7  52  23   0|1111M 1061M  200M 5364M|  73k   11k|   0    48M|   0  1316 |7557    14k|1.03 0.77 0.58|1.0 2.0  44|   0     0 |   0     0 |  9    8    0   11    2
Jun 15 15:51:08 ubuntu dstat.sh[95741]: 15-06 15:51:08|  6   3  62  26   0|1111M 1059M  200M 5366M| 303k   11k|   0    11M|   0   725 |4857  8547 |1.03 0.77 0.58|1.0 1.0 1.0|   0     0 |   0     0 |  9    8    0   10    2
Jun 15 15:51:09 ubuntu dstat.sh[95741]: 15-06 15:51:09| 26   6  55  13   0|1020M 1147M  200M 5367M|  81k 8171 |   0    10M|   0   684 |4237  7545 |1.03 0.77 0.58|2.0   0  33|   0     0 |   0     0 |  9    6    0   10    2
Jun 15 15:51:10 ubuntu dstat.sh[95741]: 15-06 15:51:10| 29   8  62   0   0|1074M 1086M  201M 5373M| 891k 5730 |   0  1597k|   0  23.0 |1518  1818 |1.03 0.77 0.58|2.0   0  62|   0     0 |   0     0 |  9    6    0   10    2
Jun 15 15:51:11 ubuntu dstat.sh[95741]: 15-06 15:51:11| 27   4  68   1   0|1105M 1055M  201M 5373M|  50k 5322 |   0  4305k|   0   223 |1609  2323 |1.03 0.77 0.58|1.0   0   0|   0     0 |   0     0 |  9    6    0   10    2
Jun 15 15:51:12 ubuntu dstat.sh[95741]: 15-06 15:51:12| 28   3  68   0   0|1046M 1113M  201M 5374M| 491k   11k|   0  4297k|   0  24.0 |1347  1370 |1.11 0.79 0.59|1.0   0  12|   0     0 |   0     0 |  9    6    0   10    2
