-- Logs begin at Wed 2023-05-10 20:08:21 UTC, end at Wed 2023-05-10 21:10:57 UTC. --
May 10 20:58:45 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
May 10 20:58:45 ubuntu dstat.sh[73310]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
May 10 20:58:45 ubuntu dstat.sh[73310]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
May 10 20:58:45 ubuntu dstat.sh[73310]: 10-05 20:58:45|                   | 991M 1323M  196M 5118M|           |           |           |           |1.26 0.93 0.66|3.0   0    |           |   0     0 |  8    7    0    8    2
May 10 20:58:46 ubuntu dstat.sh[73310]: 10-05 20:58:46| 18  18  56   7   0| 974M 1337M  196M 5120M|3101k   52k|   0    20M|   0   534 |5927  5889 |1.26 0.93 0.66|3.5   0 380|   0     0 |   0     0 |  8    6    0    8    3
May 10 20:58:47 ubuntu dstat.sh[73310]: 10-05 20:58:47| 37  22  42   0   0| 971M 1335M  196M 5126M|1286k   21k|   0  4125k|   0   276 |4896  5538 |1.26 0.93 0.66|4.0   0 368|   0     0 |   0     0 |  8    6    0    8    2
May 10 20:58:48 ubuntu dstat.sh[73310]: 10-05 20:58:48| 37  21  40   0   0| 974M 1327M  196M 5130M|1934k   38k|   0  2619k|   0  11.0 |5705  7131 |1.72 1.03 0.69|2.0   0 208|   0     0 |   0     0 |  8    6    0    8    2
May 10 20:58:49 ubuntu dstat.sh[73310]: 10-05 20:58:49| 21  12  64   1   0|1122M 1177M  196M 5254M|1068k   23k|   0  1195k|   0  8.99 |3885  6184 |1.72 1.03 0.69|1.0   0  77|   0     0 |   0     0 |  9    7    0    8    2
May 10 20:58:50 ubuntu dstat.sh[73310]: 10-05 20:58:50| 26   8  65   1   0|1105M 1192M  196M 5256M|1231k   16k|   0  2904k|   0  18.0 |2172  2274 |1.72 1.03 0.69|3.0   0  88|   0     0 |   0     0 |  9    7    1    7    2
May 10 20:58:51 ubuntu dstat.sh[73310]: 10-05 20:58:51| 40  13  46   1   0|1121M 1175M  196M 5256M| 191k   22k|   0    10M|   0  56.0 |2371  3147 |1.72 1.03 0.69|4.0   0 187|   0     0 |   0     0 |  9    8    0    9    2
May 10 20:58:52 ubuntu dstat.sh[73310]: 10-05 20:58:52| 39   6  53   1   0|1189M 1107M  196M 5257M| 181k   11k|  56k 1682k|5.99  25.0 |1759  1916 |1.72 1.03 0.69|1.0   0  23|   0     0 |   0     0 |  9    9    0    9    2
May 10 20:58:53 ubuntu dstat.sh[73310]: 10-05 20:58:53| 27   3  67   2   0|1191M 1102M  196M 5259M| 390k   14k| 140k 1692k|8.00  18.0 |1600  1657 |1.66 1.03 0.69|1.0   0 1.0|   0     0 |   0     0 |  9    9    0    9    2
May 10 20:58:54 ubuntu dstat.sh[73310]: 10-05 20:58:54| 20   4  60  15   0|1158M 1131M  196M 5263M| 734k   26k|  12k   12M|1.00   796 |6073  9870 |1.66 1.03 0.69|  0 1.0  10|   0     0 |   0     0 |  9   10    0    9    2
