-- Logs begin at Thu 2023-04-06 00:44:59 UTC, end at Thu 2023-04-06 08:43:04 UTC. --
Apr 06 08:05:25 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Apr 06 08:05:25 ubuntu dstat.sh[74616]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Apr 06 08:05:25 ubuntu dstat.sh[74616]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Apr 06 08:05:25 ubuntu dstat.sh[74616]: 06-04 08:05:25|                   | 936M 1168M  198M 5320M|           |           |           |           |1.35 0.77 0.52|3.0   0    |           |   0     0 |  8    6    0    9    2
Apr 06 08:05:26 ubuntu dstat.sh[74616]: 06-04 08:05:26| 10  20  68   0   0| 937M 1166M  198M 5322M|1753k   36k|   0    11M|   0   120 |4817  5916 |1.34 0.77 0.52|2.0   0 359|   0     0 |   0     0 |  8    6    0    9    2
Apr 06 08:05:27 ubuntu dstat.sh[74616]: 06-04 08:05:27| 13  20  65   0   0| 938M 1159M  198M 5328M|2410k   47k|   0  3838k|   0  65.9 |4548  5212 |1.32 0.77 0.52|1.0   0 342|   0     0 |   0     0 |  8    6    0    9    2
Apr 06 08:05:28 ubuntu dstat.sh[74616]: 06-04 08:05:28| 23  18  58   1   0| 864M 1229M  198M 5331M|1717k   24k|   0  1468k|   0  13.0 |4654  6315 |1.32 0.77 0.52|2.0   0 197|   0     0 |   0     0 |  8    4    0    9    2
Apr 06 08:05:29 ubuntu dstat.sh[74616]: 06-04 08:05:29| 21  19  57   0   0|1009M 1083M  198M 5454M| 521k   11k|   0  2822k|   0  12.0 |5424    10k|1.32 0.77 0.52|  0   0 127|   0     0 |   0     0 |  9    4    0    8    2
Apr 06 08:05:30 ubuntu dstat.sh[74616]: 06-04 08:05:30| 13   6  81   1   0|1018M 1074M  198M 5455M| 205k   10k|   0   676k|   0  10.0 |1563  2033 |1.32 0.77 0.52|1.0   0  81|   0     0 |   0     0 |  9    6    0    8    2
Apr 06 08:05:31 ubuntu dstat.sh[74616]: 06-04 08:05:31| 18  11  70   1   0|1013M 1078M  198M 5455M| 221k 9965 |   0    12M|   0   211 |2474  2769 |1.30 0.77 0.52|1.0   0 162|   0     0 |   0     0 |  9    6    0    8    2
Apr 06 08:05:32 ubuntu dstat.sh[74616]: 06-04 08:05:32| 23   5  70   2   0|1061M 1029M  198M 5455M| 100k   19k|  52k 1220k|5.00  36.0 |1629  2168 |1.30 0.77 0.52|1.0   0  48|   0     0 |   0     0 |  9    6    0   10    2
Apr 06 08:05:33 ubuntu dstat.sh[74616]: 06-04 08:05:33| 27   4  69   1   0|1081M 1007M  198M 5457M| 161k 8091 | 144k 1732k|9.00  17.0 |1402  1648 |1.30 0.77 0.52|1.0   0 1.0|   0     0 |   0     0 |  9    6    0   10    2
Apr 06 08:05:34 ubuntu dstat.sh[74616]: 06-04 08:05:34| 20   1  69   7   0|1096M  991M  198M 5458M| 155k   17k|  12k 2534k|1.00   175 |2517  3757 |1.30 0.77 0.52|  0 2.0 2.0|   0     0 |   0     0 |  9    8    0   10    2
Apr 06 08:05:35 ubuntu dstat.sh[74616]: 06-04 08:05:35| 12   4  62  21   0|1101M  985M  199M 5460M|  52k   11k|   0    14M|   0  1017 |6144    11k|1.30 0.77 0.52|  0 1.0 9.0|   0     0 |   0     0 |  9    8    0   10    2
Apr 06 08:05:36 ubuntu dstat.sh[74616]: 06-04 08:05:36|  8   4  69  18   0|1108M  974M  199M 5462M|  75k   12k|   0  7359k|   0   612 |4758  9195 |1.35 0.80 0.53|  0 1.0  18|   0     0 |   0     0 |  9    8    0   10    2
Apr 06 08:05:37 ubuntu dstat.sh[74616]: 06-04 08:05:37|  9   3  65  20   0|1110M  970M  199M 5464M|  69k   12k|   0  6672k|   0   644 |5558  9496 |1.35 0.80 0.53|3.0   0  12|   0     0 |   0     0 |  9    8    0   10    2
Apr 06 08:05:38 ubuntu dstat.sh[74616]: 06-04 08:05:38| 13   3  63  19   0|1113M  965M  200M 5466M|  56k   11k|   0  6313k|   0   634 |5265  9343 |1.35 0.80 0.53|  0 1.0  16|   0     0 |   0     0 |  9    8    0   10    2
Apr 06 08:05:39 ubuntu dstat.sh[74616]: 06-04 08:05:39|  9   3  65  20   0|1116M  960M  200M 5467M|  49k   11k|   0  6179k|   0   608 |5030  8907 |1.35 0.80 0.53|  0 1.0 9.0|   0     0 |   0     0 |  9    8    0   10    2
Apr 06 08:05:40 ubuntu dstat.sh[74616]: 06-04 08:05:40| 23   6  68   2   0|1045M 1030M  200M 5467M|  97k   10k|   0   931k|   0  81.0 |2209  3244 |1.35 0.80 0.53|1.0   0  80|   0     0 |   0     0 |  9    6    0   10    2
Apr 06 08:05:41 ubuntu dstat.sh[74616]: 06-04 08:05:41| 25   4  70   1   0|1103M  972M  200M 5468M| 199k 9184 |   0    29M|   0  83.0 |1347  1307 |1.41 0.82 0.54|1.0   0 1.0|   0     0 |   0     0 |  9    6    0   10    2
Apr 06 08:05:42 ubuntu dstat.sh[74616]: 06-04 08:05:42| 30   4  66   1   0|1030M 1043M  200M 5469M| 822k   23k|   0  8489k|   0   387 |2527  3530 |1.41 0.82 0.54|1.0   0  12|   0     0 |   0     0 |  9    6    0   10    2
Apr 06 08:05:43 ubuntu dstat.sh[74616]: 06-04 08:05:43| 29   4  67   1   0|1096M  976M  200M 5471M| 813k   25k|   0  7989k|   0   403 |2591  3488 |1.41 0.82 0.54|2.0   0 2.0|   0     0 |   0     0 |  9    6    0   10    2
Apr 06 08:05:44 ubuntu dstat.sh[74616]: 06-04 08:05:44| 31   3  66   1   0|1119M  952M  201M 5471M| 491k   15k|   0  7826k|   0   392 |2310  3102 |1.41 0.82 0.54|1.0   0 1.0|   0     0 |   0     0 |  9    6    0   10    2
Apr 06 08:05:45 ubuntu dstat.sh[74616]: 06-04 08:05:45| 14  18  66   2   0|1031M 1039M  201M 5472M| 101k 7124 |   0  8057k|   0   417 |3543  6012 |1.41 0.82 0.54|1.0   0 348|   0     0 |   0     0 |  9    6    0   10    2
Apr 06 08:05:46 ubuntu dstat.sh[74616]: 06-04 08:05:46| 18  20  57   3   0|1052M 1017M  201M 5473M| 106k 7110 |   0    12M|   0   416 |3488  4542 |1.37 0.82 0.54|7.0   0 352|   0     0 |   0     0 |  9    6    0   10    2
Apr 06 08:05:47 ubuntu dstat.sh[74616]: 06-04 08:05:47| 37  22  41   0   0|1073M  995M  201M 5474M|  51k 6312 | 196k 1187k|3.00  18.0 |5354    11k|1.37 0.82 0.54|4.0   0 175|   0     0 |   0     0 |  9    6    0   11    2
Apr 06 08:05:48 ubuntu dstat.sh[74616]: 06-04 08:05:48| 50   8  42   0   0|1172M  895M  201M 5475M| 287k   12k| 128k  665k|1.00  9.01 |2011  2203 |1.37 0.82 0.54|3.0   0  56|   0     0 |   0     0 |  9    7    0   10    2
Apr 06 08:05:49 ubuntu dstat.sh[74616]: 06-04 08:05:49| 48   3  48   1   0|1219M  845M  201M 5477M| 683k   20k| 372k  428k|8.00  6.00 |2105  1827 |1.37 0.82 0.54|3.0   0 1.0|   0     0 |   0     0 |  9    7    0   10    2
Apr 06 08:05:50 ubuntu dstat.sh[74616]: 06-04 08:05:50| 58   9  33   0   0|1249M  808M  201M 5483M| 348k   12k|   0  2545k|   0  33.0 |2410  4157 |1.37 0.82 0.54|3.0   0 2.0|   0     0 |   0     0 |  9    7    0   10    2
Apr 06 08:05:51 ubuntu dstat.sh[74616]: 06-04 08:05:51| 30  11  57   0   0|1283M  772M  201M 5485M| 599k   20k|   0  2872k|   0  32.0 |3336  5443 |1.50 0.86 0.55|1.0   0 143|   0     0 |   0     0 |  9    6    0   11    2
Apr 06 08:05:52 ubuntu dstat.sh[74616]: 06-04 08:05:52| 25   3  70   0   0|1340M  714M  201M 5485M| 383k   13k|   0   572k|   0  6.00 |1531  1501 |1.50 0.86 0.55|1.0   0 3.0|   0     0 |   0     0 |  9    6    0   11    2
Apr 06 08:05:53 ubuntu dstat.sh[74616]: 06-04 08:05:53| 29   2  68   1   0|1356M  698M  201M 5486M| 139k   13k|   0   747k|   0  11.0 |1314  1423 |1.50 0.86 0.55|1.0 1.0 2.0|   0     0 |   0     0 |  9    8    0   11    2
Apr 06 08:05:54 ubuntu dstat.sh[74616]: 06-04 08:05:54| 25   4  66   4   0|1271M  782M  202M 5486M| 138k   64k|   0  3824k|   0   314 |3707  6186 |1.50 0.86 0.55|2.0   0  43|   0     0 |   0     0 |  9    6    0   13    2
Apr 06 08:05:55 ubuntu dstat.sh[74616]: 06-04 08:05:55| 23   5  70   2   0|1288M  765M  202M 5486M| 110k 6916 |  60k  232k|9.01  6.00 |1325  1523 |1.50 0.86 0.55|1.0   0 2.0|   0     0 |   0     0 |  9    6    0   13    2
Apr 06 08:05:56 ubuntu dstat.sh[74616]: 06-04 08:05:56| 29   4  65   1   0|1312M  740M  202M 5487M| 195k   84k|  36k   10M|5.00   104 |1969  2627 |1.46 0.86 0.56|1.0 1.0 3.0|   0     0 |   0     0 |  9   18    0   13    2
Apr 06 08:05:57 ubuntu dstat.sh[74616]: 06-04 08:05:57| 21   3  63  10   0|1273M  779M  202M 5487M| 195k   52k| 208k 4877k|52.0   228 |2299  3074 |1.46 0.86 0.56|3.0   0 6.0|   0     0 |   0     0 |  9   32    0   13    2
Apr 06 08:05:58 ubuntu dstat.sh[74616]: 06-04 08:05:58| 28   6  64   1   0|1309M  742M  202M 5487M|  29k 4739 |   0   400k|   0  11.0 |1419  1627 |1.46 0.86 0.56|1.0   0  45|   0     0 |   0     0 |  9   32    0   11    2
Apr 06 08:05:59 ubuntu dstat.sh[74616]: 06-04 08:05:59| 25   9  66   1   1|1269M  782M  202M 5488M| 150k   64k|   0   521k|   0  12.0 |2111  2968 |1.46 0.86 0.56|3.0   0 150|   0     0 |   0     0 |  9   32    0   13    2
Apr 06 08:06:00 ubuntu dstat.sh[74616]: 06-04 08:06:00| 67   8  24   0   0|1388M  660M  202M 5490M|9893  1714 |   0  4097B|   0  1.00 |1713  1620 |1.46 0.86 0.56|3.0   0  14|   0     0 |   0     0 |  9   32    0   12    2
Apr 06 08:06:01 ubuntu dstat.sh[74616]: 06-04 08:06:01| 66   8  24   0   0|1396M  649M  202M 5491M| 684k  676k|  28k 3505k|2.00  57.9 |5116    11k|1.51 0.88 0.56|3.0   0 4.0|   0     0 |   0     0 |  9   37    0   15    2
Apr 06 08:06:02 ubuntu dstat.sh[74616]: 06-04 08:06:02| 71  22   7   1   0|1390M  635M  203M 5510M|  44k   26k|   0  4580k|   0   134 |2956  5067 |1.51 0.88 0.56|7.0   0 407|   0     0 |   0     0 |  9   36    0   15    2
Apr 06 08:06:03 ubuntu dstat.sh[74616]: 06-04 08:06:03| 86  13   1   0   0|1516M  501M  203M 5516M| 276k  266k|   0  1484k|   0  57.0 |3088  5175 |1.51 0.88 0.56|7.0   0 151|   0     0 |   0     0 |  9   38    0   17    2
Apr 06 08:06:04 ubuntu dstat.sh[74616]: 06-04 08:06:04| 84  14   1   0   0|1435M  572M  204M 5524M| 702k  694k|   0  4807k|   0   204 |5279    11k|1.51 0.88 0.56|5.0 1.0 159|   0     0 |   0     0 |  9   37    0   17    2
Apr 06 08:06:05 ubuntu dstat.sh[74616]: 06-04 08:06:05| 69  10  20   1   0|1419M  576M  205M 5535M| 332k  323k|   0  2169k|   0  92.9 |3626  6954 |1.51 0.88 0.56|3.0   0  75|   0     0 |   0     0 |  9   37    0   17    2
Apr 06 08:06:06 ubuntu dstat.sh[74616]: 06-04 08:06:06| 38  12  50   1   0|1332M  642M  205M 5552M|  33k   16k|   0  2202k|   0  77.1 |2082  2983 |1.55 0.90 0.57|1.0 1.0 112|   0     0 |   0     0 |  9   36    0   17    2
Apr 06 08:06:07 ubuntu dstat.sh[74616]: 06-04 08:06:07| 24   4  71   1   0|1356M  618M  205M 5552M| 142k  134k|   0  2778k|   0  28.0 |1579  2712 |1.55 0.90 0.57|1.0   0 1.0|   0     0 |   0     0 |  9   38    0   19    2
