-- Logs begin at Mon 2023-07-17 15:02:00 UTC, end at Tue 2023-07-18 02:31:06 UTC. --
Jul 18 02:18:13 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Jul 18 02:18:14 ubuntu dstat.sh[96548]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Jul 18 02:18:14 ubuntu dstat.sh[96548]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jul 18 02:18:14 ubuntu dstat.sh[96548]: 18-07 02:18:14|                   | 924M 1027M  217M 5432M|           |           |           |           |1.19 0.76 0.58|2.0   0    |           |   0     0 |  8    6    0    8    2
Jul 18 02:18:15 ubuntu dstat.sh[96548]: 18-07 02:18:15| 11  20  67   0   0| 925M 1024M  217M 5433M|1098k 9993 |   0  4143k|   0  24.9 |2987  4529 |1.19 0.76 0.58|1.5   0 387|   0     0 |   0     0 |  8    6    0    8    2
Jul 18 02:18:16 ubuntu dstat.sh[96548]: 18-07 02:18:16| 16  19  64   1   0| 935M 1009M  217M 5438M|2023k   23k|   0  2188k|   0  19.5 |3474  4915 |1.19 0.76 0.58| 16   0 362|   0     0 |   0     0 |  8    6    0    8    2
Jul 18 02:18:17 ubuntu dstat.sh[96548]: 18-07 02:18:17| 21  16  61   0   0| 914M 1028M  217M 5440M|1007k   24k|   0   639k|   0  13.0 |2790  5222 |1.19 0.76 0.58|1.0   0 209|   0     0 |   0     0 |  8    6    0    8    2
Jul 18 02:18:18 ubuntu dstat.sh[96548]: 18-07 02:18:18| 19  12  68   0   0|1000M  939M  217M 5565M|1402k   20k|   0  9907k|   0  69.0 |3181  8503 |1.19 0.76 0.58|  0   0  74|   0     0 |   0     0 |  9    4    0    8    2
Jul 18 02:18:19 ubuntu dstat.sh[96548]: 18-07 02:18:19| 15   6  77   1   0|1008M  931M  217M 5565M| 210k 8036 |   0   648k|   0  15.0 |1687  2244 |1.17 0.76 0.58|2.0   0  91|   0     0 |   0     0 |  9    6    0    8    2
Jul 18 02:18:20 ubuntu dstat.sh[96548]: 18-07 02:18:20| 21  10  68   1   0|1008M  930M  217M 5566M| 177k   18k|   0   740k|   0  30.0 |2201  3217 |1.17 0.76 0.58|2.0   0 196|   0     0 |   0     0 |  9    6    0   10    2
Jul 18 02:18:21 ubuntu dstat.sh[96548]: 18-07 02:18:21| 23   3  70   1   0|1065M  872M  217M 5567M| 144k 6515 |  52k 1212k|5.00  21.0 |1353  1522 |1.17 0.76 0.58|1.0   0 2.0|   0     0 |   0     0 |  9    6    0    9    2
Jul 18 02:18:22 ubuntu dstat.sh[96548]: 18-07 02:18:22| 27   3  68   1   0|1072M  863M  217M 5568M|  47k 5005 | 156k 1247k|10.0  16.0 |1403  1555 |1.17 0.76 0.58|1.0   0 2.0|   0     0 |   0     0 |  9    6    0    9    2
Jul 18 02:18:23 ubuntu dstat.sh[96548]: 18-07 02:18:23| 12   4  65  17   0|1087M  845M  218M 5571M|  89k   19k|   0    24M|   0  1140 |6126    11k|1.17 0.76 0.58|2.0   0  10|   0     0 |   0     0 |  9    8    0    9    2
