-- Logs begin at Mon 2023-04-17 16:57:53 UTC, end at Mon 2023-04-17 19:36:10 UTC. --
Apr 17 18:57:48 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Apr 17 18:57:49 ubuntu dstat.sh[73034]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Apr 17 18:57:49 ubuntu dstat.sh[73034]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Apr 17 18:57:49 ubuntu dstat.sh[73034]: 17-04 18:57:49|                   | 826M 1683M  171M 4958M|           |           |           |           |0.71 0.76 0.63|4.0   0    |           |   0     0 |  8    4    0    6    0
Apr 17 18:57:50 ubuntu dstat.sh[73034]: 17-04 18:57:50|  9  18  70   0   0| 826M 1682M  171M 4958M| 176k 6291 |   0   515k|   0  20.9 |2915  4593 |0.72 0.76 0.63|3.0   0 383|   0     0 |   0     0 |  8    4    0    6    0
Apr 17 18:57:51 ubuntu dstat.sh[73034]: 17-04 18:57:51| 13  18  68   0   0| 832M 1676M  171M 4958M| 157k 4329 |   0    28k|   0  14.0 |3178  5459 |0.73 0.76 0.63| 21   0 364|   0     0 |   0     0 |  8    4    0    6    0
Apr 17 18:57:52 ubuntu dstat.sh[73034]: 17-04 18:57:52| 16  18  65   0   0| 818M 1690M  171M 4959M| 103k 3732 |   0    16k|   0  4.00 |3289  6804 |0.73 0.76 0.63|1.0   0 208|   0     0 |   0     0 |  8    4    0    6    0
Apr 17 18:57:53 ubuntu dstat.sh[73034]: 17-04 18:57:53| 15  12  72   0   0| 954M 1553M  171M 5080M|  62k 2807 |   0     0 |   0     0 |3440  7263 |0.73 0.76 0.63|  0   0  70|   0     0 |   0     0 |  9    4    0    6    0
Apr 17 18:57:54 ubuntu dstat.sh[73034]: 17-04 18:57:54|  5   6  90   0   0| 960M 1548M  171M 5080M|  76k 4887 |   0     0 |   0     0 |1410  2092 |0.73 0.76 0.63|1.0   0  77|   0     0 |   0     0 |  9    6    0    6    0
Apr 17 18:57:55 ubuntu dstat.sh[73034]: 17-04 18:57:55| 17  10  72   0   0| 959M 1549M  171M 5080M|  90k 4326 |   0   380k|   0  11.0 |1907  2447 |0.75 0.77 0.63|1.0   0 141|   0     0 |   0     0 |  9    6    0    6    0
Apr 17 18:57:56 ubuntu dstat.sh[73034]: 17-04 18:57:56| 19   6  73   1   0| 998M 1510M  171M 5081M|  60k   14k|  20k  400k|2.00  24.0 |1646  2268 |0.75 0.77 0.63|1.0   0  70|   0     0 |   0     0 |  9    6    0    8    0
Apr 17 18:57:57 ubuntu dstat.sh[73034]: 17-04 18:57:57| 21   4  73   3   0|1019M 1487M  172M 5082M|  31k 2185 | 196k    0 |13.0     0 |1095  1346 |0.75 0.77 0.63|1.0   0   0|   0     0 |   0     0 |  9    6    0    8    0
Apr 17 18:57:58 ubuntu dstat.sh[73034]: 17-04 18:57:58| 21   2  73   6   0|1038M 1468M  172M 5082M|  54k   11k|  16k 2904k|2.00   137 |2010  3248 |0.75 0.77 0.63|  0 1.0 1.0|   0     0 |   0     0 |  9    8    0    8    0
Apr 17 18:57:59 ubuntu dstat.sh[73034]: 17-04 18:57:59|  5   2  67  24   0|1047M 1457M  172M 5083M|  78k 7932 |   0  7759k|   0   622 |4987  8772 |0.75 0.77 0.63|  0 1.0 9.0|   0     0 |   0     0 |  9    8    0    8    0
Apr 17 18:58:00 ubuntu dstat.sh[73034]: 17-04 18:58:00|  5   2  70  21   0|1048M 1454M  172M 5085M|  73k 8440 |   0  5807k|   0   547 |5130  8789 |0.85 0.79 0.64|  0 1.0 2.0|   0     0 |   0     0 |  9    8    0    8    0
Apr 17 18:58:01 ubuntu dstat.sh[73034]: 17-04 18:58:01|  7   3  68  20   0|1055M 1444M  172M 5087M|  90k   10k|   0  6878k|   0   599 |5444  9223 |0.85 0.79 0.64|2.0 1.0  18|   0     0 |   0     0 |  9    8    0    8    0
Apr 17 18:58:02 ubuntu dstat.sh[73034]: 17-04 18:58:02|  6   2  69  22   0|1057M 1441M  173M 5089M| 130k   10k|   0  4776k|   0   529 |5274  8842 |0.85 0.79 0.64|1.0 1.0  18|   0     0 |   0     0 |  9    8    0    8    0
Apr 17 18:58:03 ubuntu dstat.sh[73034]: 17-04 18:58:03|  6   3  69  22   0|1058M 1438M  173M 5090M|  80k 7294 |   0  4146k|   0   437 |4776  8183 |0.85 0.79 0.64|  0 1.0  10|   0     0 |   0     0 |  9    8    0    8    0
Apr 17 18:58:04 ubuntu dstat.sh[73034]: 17-04 18:58:04|  4   1  71  22   0|1059M 1436M  173M 5091M| 111k 9826 |   0  4178k|   0   388 |3862  6951 |0.85 0.79 0.64|1.0   0   0|   0     0 |   0     0 |  9    8    0    8    0
Apr 17 18:58:05 ubuntu dstat.sh[73034]: 17-04 18:58:05| 12   2  70  14   0|1062M 1432M  173M 5092M| 149k   10k|   0  2107k|   0   238 |3214  5381 |0.86 0.79 0.64|1.0   0  12|   0     0 |   0     0 |  9    6    0    8    0
Apr 17 18:58:06 ubuntu dstat.sh[73034]: 17-04 18:58:06| 20   7  72   0   0|1016M 1478M  173M 5092M| 120k 4654 |   0   328k|   0  15.0 |1590  2073 |0.86 0.79 0.64|1.0   0  76|   0     0 |   0     0 |  9    6    0    8    0
Apr 17 18:58:07 ubuntu dstat.sh[73034]: 17-04 18:58:07| 24   3  73   1   0|1056M 1438M  173M 5092M|  92k 3577 |   0   496k|   0  15.0 |1138  1350 |0.86 0.79 0.64|1.0   0   0|   0     0 |   0     0 |  9    6    0    8    0
Apr 17 18:58:08 ubuntu dstat.sh[73034]: 17-04 18:58:08| 24   3  70   2   0|1007M 1487M  173M 5092M| 117k 3637 |   0  7453k|   0   404 |2308  3208 |0.86 0.79 0.64|1.0   0  11|   0     0 |   0     0 |  9    6    0    8    0
Apr 17 18:58:09 ubuntu dstat.sh[73034]: 17-04 18:58:09| 24   5  68   5   0|1055M 1438M  173M 5092M|  89k 4038 |   0  7336k|   0   407 |2249  3199 |0.86 0.79 0.64|1.0   0   0|   0     0 |   0     0 |  9    6    0    8    0
Apr 17 18:58:10 ubuntu dstat.sh[73034]: 17-04 18:58:10| 21   8  70   3   0| 970M 1523M  174M 5092M|  68k 2942 |   0  7321k|   0   409 |2748  4074 |0.96 0.81 0.65|1.0   0 115|   0     0 |   0     0 |  9    6    0    8    0
Apr 17 18:58:11 ubuntu dstat.sh[73034]: 17-04 18:58:11| 11  21  67   1   0| 970M 1522M  174M 5092M|  64k 2983 |   0    10M|   0   389 |3759  6231 |0.96 0.81 0.65|1.0   0 414|   0     0 |   0     0 |  9    6    0    8    0
Apr 17 18:58:12 ubuntu dstat.sh[73034]: 17-04 18:58:12| 18  18  62   1   0| 971M 1522M  174M 5093M|  93k 5180 |   0  1339k|   0  73.9 |3517  8023 |0.96 0.81 0.65|3.0   0 214|   0     0 |   0     0 |  9    6    0    8    0
Apr 17 18:58:13 ubuntu dstat.sh[73034]: 17-04 18:58:13| 43  14  43   2   0|1088M 1404M  174M 5093M| 142k 6197 | 323k  443k|3.99  9.98 |2439  4912 |0.96 0.81 0.65|2.0   0 149|   0     0 |   0     0 |  9    7    0    8    0
Apr 17 18:58:14 ubuntu dstat.sh[73034]: 17-04 18:58:14| 44   6  49   2   0|1156M 1335M  174M 5094M| 114k 4340 | 373k  381k|8.03  34.1 |1622  1750 |0.96 0.81 0.65|2.0   0   0|   0     0 |   0     0 |  9    7    0    8    0
Apr 17 18:58:15 ubuntu dstat.sh[73034]: 17-04 18:58:15| 49   4  48   0   0|1175M 1315M  174M 5095M| 117k 4129 |   0     0 |   0     0 |1487  2509 |1.04 0.83 0.66|3.0   0   0|   0     0 |   0     0 |  9    7    0    8    0
Apr 17 18:58:16 ubuntu dstat.sh[73034]: 17-04 18:58:16| 34  12  40  15   0|1192M 1296M  174M 5097M|  86k 4226 |   0  7243k|   0   389 |2976  6564 |1.04 0.83 0.66|1.0   0 141|   0     0 |   0     0 |  9    6    0    8    0
Apr 17 18:58:17 ubuntu dstat.sh[73034]: 17-04 18:58:17| 22   5  72   0   0|1244M 1243M  174M 5097M| 119k 5841 |   0     0 |   0     0 |1319  1499 |1.04 0.83 0.66|1.0   0 1.0|   0     0 |   0     0 |  9    6    0    8    0
Apr 17 18:58:18 ubuntu dstat.sh[73034]: 17-04 18:58:18| 24   3  73   0   0|1279M 1209M  174M 5097M| 117k 4854 |   0  1208k|   0  4.00 |1125  1433 |1.04 0.83 0.66|1.0   0   0|   0     0 |   0     0 |  9    6    0    8    0
Apr 17 18:58:19 ubuntu dstat.sh[73034]: 17-04 18:58:19| 23   2  71   2   0|1297M 1190M  174M 5097M| 137k   66k|   0  1268k|   0   159 |2855  4784 |1.04 0.83 0.66|3.0   0 1.0|   0     0 |   0     0 |  9   12    0    8    0
Apr 17 18:58:20 ubuntu dstat.sh[73034]: 17-04 18:58:20| 22   6  70   2   0|1216M 1271M  174M 5097M|  76k 4309 |   0  6101k|   0   328 |2442  3516 |1.04 0.84 0.66|1.0   0  46|   0     0 |   0     0 |  9    6    0    8    0
Apr 17 18:58:21 ubuntu dstat.sh[73034]: 17-04 18:58:21| 21   3  72   4   0|1244M 1242M  174M 5098M| 109k   47k| 151k 3707k|21.9  56.6 |1412  1978 |1.04 0.84 0.66|3.0   0 3.0|   0     0 |   0     0 |  9   15    0    8    0
Apr 17 18:58:22 ubuntu dstat.sh[73034]: 17-04 18:58:22| 19   4  73   5   0|1196M 1290M  174M 5098M| 161k   84k| 218k  592k|54.4  15.1 |1915  2964 |1.04 0.84 0.66|2.0   0  32|   0     0 |   0     0 |  9   32    0    8    0
Apr 17 18:58:23 ubuntu dstat.sh[73034]: 17-04 18:58:23| 22   4  73   0   0|1245M 1241M  174M 5098M|  93k 3926 |   0     0 |   0     0 |1224  1484 |1.04 0.84 0.66|1.0   0  16|   0     0 |   0     0 |  9   32    0    8    0
