-- Logs begin at Thu 2023-06-15 20:17:44 UTC, end at Thu 2023-06-15 22:44:39 UTC. --
Jun 15 22:21:25 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Jun 15 22:21:26 ubuntu dstat.sh[96089]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Jun 15 22:21:26 ubuntu dstat.sh[96089]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jun 15 22:21:26 ubuntu dstat.sh[96089]: 15-06 22:21:26|                   | 836M 1430M  195M 5162M|           |           |           |           |0.98 0.74 0.56|1.0   0    |           |   0     0 |  8    4    0    7    0
Jun 15 22:21:27 ubuntu dstat.sh[96089]: 15-06 22:21:27| 10  18  71   0   0| 837M 1429M  195M 5162M| 164k 3663 |   0   248k|   0  16.0 |2618  3984 |0.98 0.74 0.56|1.5   0 350|   0     0 |   0     0 |  8    4    0    6    0
Jun 15 22:21:28 ubuntu dstat.sh[96089]: 15-06 22:21:28| 11  20  69   0   1| 838M 1427M  195M 5162M| 200k 4197 |   0    28k|   0  11.5 |2580  3970 |0.90 0.72 0.55|1.0   0 346|   0     0 |   0     0 |  8    4    0    6    0
Jun 15 22:21:29 ubuntu dstat.sh[96089]: 15-06 22:21:29| 17  18  64   0   0| 825M 1440M  195M 5163M| 183k 4328 |   0    16k|   0  4.00 |4247  7435 |0.90 0.72 0.55|1.0   0 205|   0     0 |   0     0 |  8    4    0    6    0
Jun 15 22:21:30 ubuntu dstat.sh[96089]: 15-06 22:21:30| 20  15  65   0   0| 968M 1296M  195M 5285M| 183k 4319 |   0     0 |   0     0 |4205  7313 |0.90 0.72 0.55|  0   0 103|   0     0 |   0     0 |  9    4    0    6    0
Jun 15 22:21:31 ubuntu dstat.sh[96089]: 15-06 22:21:31|  6   4  91   0   0| 974M 1290M  195M 5285M| 198k 5395 |   0     0 |   0     0 |1431  2118 |0.90 0.72 0.55|2.0   0  75|   0     0 |   0     0 |  9    6    0    6    0
Jun 15 22:21:32 ubuntu dstat.sh[96089]: 15-06 22:21:32| 63  13  24   0   0| 976M 1288M  195M 5285M|  81k   14k|   0   369k|   0  26.0 |6845    19k|0.90 0.72 0.55|5.0   0 195|   0     0 |   0     0 |  9    6    0    8    0
Jun 15 22:21:33 ubuntu dstat.sh[96089]: 15-06 22:21:33| 38  15  45   0   0|1018M 1230M  196M 5298M|9772  1908 |   0  5927k|   0  31.0 |5053    15k|0.99 0.75 0.56|3.0   0 156|   0     0 |   0     0 |  9    4    0    9    0
Jun 15 22:21:34 ubuntu dstat.sh[96089]: 15-06 22:21:34| 45   6  48   1   0|1055M 1193M  196M 5298M|  10k 1620 |  44k 2380k|6.00  11.0 |1467  1585 |0.99 0.75 0.56|3.0   0 1.0|   0     0 |   0     0 |  9    4    0    9    0
Jun 15 22:21:35 ubuntu dstat.sh[96089]: 15-06 22:21:35| 28   4  53  14   0|1069M 1175M  196M 5301M|  22k   14k|4087B 7256k|1.00   559 |4058  8293 |0.99 0.75 0.56|1.0 1.0  13|   0     0 |   0     0 |  9    6    1    9    0
Jun 15 22:21:36 ubuntu dstat.sh[96089]: 15-06 22:21:36|  7   3  63  27   0|1075M 1167M  197M 5303M|  21k 9246 |   0    14M|   0  1150 |6702    12k|0.99 0.75 0.56|2.0   0  12|   0     0 |   0     0 |  9    7    0    9    0
Jun 15 22:21:37 ubuntu dstat.sh[96089]: 15-06 22:21:37| 12   3  60  23   0|1077M 1163M  197M 5304M|  17k 8669 |   0    13M|   0  1046 |6932    12k|0.99 0.75 0.56|  0 1.0  18|   0     0 |   0     0 |  9    8    0    9    0
Jun 15 22:21:38 ubuntu dstat.sh[96089]: 15-06 22:21:38|  6   3  62  25   0|1079M 1158M  198M 5306M|  18k 8513 |   0    20M|   0  1501 |7908    14k|1.07 0.77 0.57|  0 2.0  18|   0     0 |   0     0 |  9    8    0    9    0
Jun 15 22:21:39 ubuntu dstat.sh[96089]: 15-06 22:21:39|  9   3  66  22   0|1081M 1154M  198M 5308M|  95k 9649 |   0    11M|   0   991 |5537    11k|1.07 0.77 0.57|1.0   0  12|   0     0 |   0     0 |  9    8    0    9    0
Jun 15 22:21:40 ubuntu dstat.sh[96089]: 15-06 22:21:40| 25   6  66   2   0|1014M 1221M  198M 5308M|  99k 9803 |   0  9681k|   0   570 |3135  5096 |1.07 0.77 0.57|1.0   0  76|   0     0 |   0     0 |  9    6    0    9    0
Jun 15 22:21:41 ubuntu dstat.sh[96089]: 15-06 22:21:41| 41   5  53   1   0|1069M 1165M  198M 5309M|  58k 2016 |   0   404k|   0  13.0 |1301  1464 |1.07 0.77 0.57|2.0   0   0|   0     0 |   0     0 |  9    6    0    9    0
Jun 15 22:21:42 ubuntu dstat.sh[96089]: 15-06 22:21:42| 45   5  49   0   0|1008M 1224M  199M 5309M|  10k 1621 |   0  3665k|   0   211 |1835  2225 |1.07 0.77 0.57|2.0   0  11|   0     0 |   0     0 |  9    6    0    9    0
Jun 15 22:21:43 ubuntu dstat.sh[96089]: 15-06 22:21:43| 41  10  49   0   0|1031M 1203M  199M 5308M|  15k 1969 |   0   204k|   0  3.00 |1882  2348 |1.07 0.77 0.57|2.0   0 175|   0     0 |   0     0 |  9    4    0    9    0
Jun 15 22:21:44 ubuntu dstat.sh[96089]: 15-06 22:21:44| 63  11  27   0   0|1132M 1083M  199M 5325M|  12k 1512 |   0     0 |   0     0 |5914    10k|1.14 0.79 0.58|5.0   0  22|   0     0 |   0     0 |  9    4    0    9    0
Jun 15 22:21:45 ubuntu dstat.sh[96089]: 15-06 22:21:45| 87  13   0   0   0|1129M 1070M  200M 5338M|  12k 1620 |   0  8192B|   0  2.00 |1777  1819 |1.14 0.79 0.58|5.0   0  62|   0     0 |   0     0 |  9    4    0    9    0
Jun 15 22:21:46 ubuntu dstat.sh[96089]: 15-06 22:21:46| 57  21  21   0   0|1151M 1046M  200M 5339M|  17k 2485 |   0    28k|   0  6.99 |2619  4935 |1.14 0.79 0.58|2.0   0 479|   0     0 |   0     0 |  9    7    1    9    0
Jun 15 22:21:47 ubuntu dstat.sh[96089]: 15-06 22:21:47| 19  17  63   0   0|1158M 1039M  200M 5340M|  40k 7252 |   0  2473k|   0  20.0 |4621  9345 |1.14 0.79 0.58| 12   0 222|   0     0 |   0     0 |  9    8    0    9    0
Jun 15 22:21:48 ubuntu dstat.sh[96089]: 15-06 22:21:48| 46  14  40   0   0|1210M  987M  200M 5340M| 139k 7965 |   0   435k|   0  8.99 |2747  3895 |1.14 0.79 0.58|2.0   0 152|   0     0 |   0     0 |  9    9    2    9    1
Jun 15 22:21:49 ubuntu dstat.sh[96089]: 15-06 22:21:49| 59   5  34   1   0|1261M  934M  200M 5342M| 119k 8707 |   0   745k|   0  8.01 |1714  1489 |1.29 0.82 0.59|3.0   0   0|   0     0 |   0     0 |  9   11    0    9    0
Jun 15 22:21:50 ubuntu dstat.sh[96089]: 15-06 22:21:50| 61   3  35   0   0|1273M  920M  200M 5342M| 176k 7430 |   0  4093B|   0  1.00 |1454  1781 |1.29 0.82 0.59|4.0   0   0|   0     0 |   0     0 |  9   11    0    9    0
Jun 15 22:21:51 ubuntu dstat.sh[96089]: 15-06 22:21:51| 34  12  54   0   0|1306M  885M  200M 5345M| 405k   10k|   0     0 |   0     0 |2601  6964 |1.29 0.82 0.59|1.0   0 140|   0     0 |   0     0 |  9   10    0   10    0
Jun 15 22:21:52 ubuntu dstat.sh[96089]: 15-06 22:21:52| 27   3  68   1   0|1368M  822M  200M 5346M| 947k   18k|   0  1072k|   0  10.0 |1590  1322 |1.29 0.82 0.59|3.0   0   0|   0     0 |   0     0 |  9   10    1   10    0
Jun 15 22:21:53 ubuntu dstat.sh[96089]: 15-06 22:21:53| 35   6  58   0   0|1403M  785M  200M 5347M|1009k   21k|   0   140k|   0  8.99 |2461  7534 |1.29 0.82 0.59|2.0 1.0  36|   0     0 |   0     0 |  9   11    0   10    1
Jun 15 22:21:54 ubuntu dstat.sh[96089]: 15-06 22:21:54| 45   6  45   3   0|1341M  847M  200M 5348M| 668k   66k|   0    12M|   0   656 |4155  5328 |1.35 0.84 0.60|2.0   0  45|   0     0 |   0     0 |  9    8    0   12    2
Jun 15 22:21:55 ubuntu dstat.sh[96089]: 15-06 22:21:55| 35   6  56   2   0|1333M  853M  200M 5349M| 339k 8076 |  52k 2978k|13.0  23.0 |1665  1638 |1.35 0.84 0.60|1.0   0 6.0|   0     0 |   0     0 |  9    8    0   10    2
Jun 15 22:21:56 ubuntu dstat.sh[96089]: 15-06 22:21:56| 17   3  70   9   0|1348M  838M  200M 5350M| 346k   91k|  88k 1560k|22.0  12.0 |1777  2542 |1.35 0.84 0.60|1.0 1.0 3.0|   0     0 |   0     0 |  9   20    0   10    2
Jun 15 22:21:57 ubuntu dstat.sh[96089]: 15-06 22:21:57| 25   4  59  10   0|1287M  898M  200M 5350M| 542k   64k| 128k 2508k|32.1   114 |2427  3005 |1.35 0.84 0.60|1.0   0  48|   0     0 |   0     0 |  9   34    0   10    2
Jun 15 22:21:58 ubuntu dstat.sh[96089]: 15-06 22:21:58| 31   3  65   0   0|1344M  841M  200M 5350M| 152k 6831 |   0   423k|   0  8.99 |1330  1390 |1.35 0.84 0.60|1.0   0 3.0|   0     0 |   0     0 |  9   34    0   10    2
Jun 15 22:21:59 ubuntu dstat.sh[96089]: 15-06 22:21:59| 23  10  66   0   0|1311M  872M  200M 5352M| 819k   77k|   0  2695k|   0  53.0 |2723  3401 |1.32 0.85 0.60|3.0   0 158|   0     0 |   0     0 |  9   34    0   10    2
Jun 15 22:22:00 ubuntu dstat.sh[96089]: 15-06 22:22:00| 46   6  48   0   0|1401M  780M  200M 5354M|1207k   22k|   0     0 |   0     0 |2325  1833 |1.32 0.85 0.60|2.0   0 2.0|   0     0 |   0     0 |  9   34    0   10    2
Jun 15 22:22:01 ubuntu dstat.sh[96089]: 15-06 22:22:01| 47   5  46   0   0|1422M  756M  200M 5357M|2049k  673k|   0   459k|   0  28.0 |6337    11k|1.32 0.85 0.60|2.0   0 2.0|   0     0 |   0     0 |  9   39    0   12    2
Jun 15 22:22:02 ubuntu dstat.sh[96089]: 15-06 22:22:02| 62  20  18   1   0|1361M  815M  200M 5359M|1149k   71k|   0  1530k|   0  43.1 |3735  5701 |1.32 0.85 0.60|6.0   0 455|   0     0 |   0     0 |  9   36    0   12    2
Jun 15 22:22:03 ubuntu dstat.sh[96089]: 15-06 22:22:03| 86  15   0   0   0|1513M  661M  200M 5360M| 775k  163k|   0  4255k|   0  27.0 |2943  4049 |1.32 0.85 0.60|6.0   0 133|   0     0 |   0     0 |  9   36    0   12    2
