-- Logs begin at Wed 2023-05-10 20:18:48 UTC, end at Wed 2023-05-10 21:21:05 UTC. --
May 10 21:08:46 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
May 10 21:08:46 ubuntu dstat.sh[73395]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
May 10 21:08:46 ubuntu dstat.sh[73395]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
May 10 21:08:46 ubuntu dstat.sh[73395]: 10-05 21:08:46|                   | 968M 1333M  197M 5129M|           |           |           |           |1.06 1.02 0.70|5.0   0    |           |   0     0 |  8    6    0    8    2
May 10 21:08:47 ubuntu dstat.sh[73395]: 10-05 21:08:47| 33  21  45   1   0| 978M 1323M  197M 5129M| 293k   13k|   0   755k|   0  19.0 |2818  4608 |1.06 1.02 0.70|4.5   0 418|   0     0 |   0     0 |  8    6    0    8    2
May 10 21:08:48 ubuntu dstat.sh[73395]: 10-05 21:08:48| 33  20  46   0   0| 976M 1324M  197M 5131M| 451k   15k|   0   975k|   0  17.5 |2936  4858 |1.06 1.02 0.70|1.0   0 355|   0     0 |   0     0 |  8    7    0    8    2
May 10 21:08:49 ubuntu dstat.sh[73395]: 10-05 21:08:49| 20  18  60   1   0| 975M 1322M  197M 5133M|1156k   19k|   0   955k|   0  13.0 |3951  6687 |1.06 1.02 0.70|3.0   0 206|   0     0 |   0     0 |  8    7    0    8    2
May 10 21:08:50 ubuntu dstat.sh[73395]: 10-05 21:08:50| 39  17  44   0   0|1107M 1187M  197M 5257M| 879k   12k|   0    23M|   0   116 |3699  6672 |1.13 1.03 0.71|2.0   0 149|   0     0 |   0     0 |  9    8    0    7    2
May 10 21:08:51 ubuntu dstat.sh[73395]: 10-05 21:08:51| 41  12  43   3   0|1124M 1170M  197M 5258M| 153k 9237 |   0   959k|   0  30.0 |2156  2810 |1.13 1.03 0.71|2.0   0 150|   0     0 |   0     0 |  9    8    0    7    2
May 10 21:08:52 ubuntu dstat.sh[73395]: 10-05 21:08:52| 28   6  64   2   0|1164M 1129M  197M 5258M| 118k   20k|  52k 1415k|5.00  25.0 |1799  2323 |1.13 1.03 0.71|1.0   0  68|   0     0 |   0     0 |  9    9    0    9    2
May 10 21:08:53 ubuntu dstat.sh[73395]: 10-05 21:08:53| 27   4  65   3   0|1188M 1103M  197M 5260M| 389k   13k| 144k 2227k|9.00  37.0 |1615  1804 |1.13 1.03 0.71|3.0   0   0|   0     0 |   0     0 |  9    8    0    9    3
May 10 21:08:54 ubuntu dstat.sh[73395]: 10-05 21:08:54| 26   3  64   7   0|1160M 1129M  198M 5262M| 847k   26k|  12k 3557k|1.00   182 |2898  3872 |1.13 1.03 0.71|4.0 2.0 4.0|   0     0 |   0     0 |  9    8    0    9    4
May 10 21:08:55 ubuntu dstat.sh[73395]: 10-05 21:08:55| 38   8  34  18   0|1154M 1131M  198M 5265M|  54k   12k|   0    11M|   0   797 |6499    15k|1.36 1.08 0.73|1.0 1.0  42|   0     0 |   0     0 |  9    8    0   10    2
May 10 21:08:56 ubuntu dstat.sh[73395]: 10-05 21:08:56| 23   6  53  19   0|1166M 1117M  199M 5267M|  92k   13k|   0  7146k|   0   660 |5308  9252 |1.36 1.08 0.73|1.0 1.0  22|   0     0 |   0     0 |  9    9    0   10    2
May 10 21:08:57 ubuntu dstat.sh[73395]: 10-05 21:08:57| 12   3  63  20   0|1167M 1114M  199M 5268M| 120k   14k|   0  5912k|   0   555 |5292  8904 |1.36 1.08 0.73|  0 1.0  16|   0     0 |   0     0 |  9    9    0    9    2
May 10 21:08:58 ubuntu dstat.sh[73395]: 10-05 21:08:58| 19   4  59  18   0|1117M 1160M  199M 5271M| 665k   26k|   0  7706k|   0   651 |6158  9842 |1.36 1.08 0.73|1.0 1.0  14|   0     0 |   0     0 |  9    8    0    9    2
May 10 21:08:59 ubuntu dstat.sh[73395]: 10-05 21:08:59|  7   3  67  21   0|1120M 1155M  200M 5274M|1006k   33k|   0  6327k|   0   530 |6075  9393 |1.36 1.08 0.73|1.0   0  13|   0     0 |   0     0 |  9    8    0    9    2
May 10 21:09:00 ubuntu dstat.sh[73395]: 10-05 21:09:00| 28   5  64   1   0|1059M 1213M  200M 5275M| 555k   21k|   0    34M|   0   325 |3031  3400 |1.33 1.08 0.73|1.0   0  77|   0     0 |   0     0 |  9    6    0    9    2
May 10 21:09:01 ubuntu dstat.sh[73395]: 10-05 21:09:01| 28   2  70   0   0|1114M 1158M  200M 5275M|  94k 7168 |   0  1072k|   0  23.0 |1190  1331 |1.33 1.08 0.73|1.0   0 1.0|   0     0 |   0     0 |  9    6    0    9    2
May 10 21:09:02 ubuntu dstat.sh[73395]: 10-05 21:09:02| 28   2  70   0   0|1047M 1225M  200M 5276M|  86k 7935 |   0  1036k|   0  27.0 |1242  1384 |1.33 1.08 0.73|1.0   0  13|   0     0 |   0     0 |  9    6    0    9    2
May 10 21:09:03 ubuntu dstat.sh[73395]: 10-05 21:09:03| 25   3  69   2   0|1102M 1170M  200M 5276M| 280k   10k|   0  7787k|   0   411 |2508  3127 |1.33 1.08 0.73|2.0   0 1.0|   0     0 |   0     0 |  9    6    0    9    2
May 10 21:09:04 ubuntu dstat.sh[73395]: 10-05 21:09:04| 34   4  61   3   0|1118M 1151M  200M 5278M|  83k 6385 |   0  7659k|   0   408 |2504  3135 |1.33 1.08 0.73|1.0   0 4.0|   0     0 |   0     0 |  9    6    0    9    2
May 10 21:09:05 ubuntu dstat.sh[73395]: 10-05 21:09:05| 19  20  58   2   0|1042M 1220M  201M 5283M| 894k   23k|   0    12M|   0   431 |4875  7036 |1.39 1.10 0.74|3.0   0 389|   0     0 |   0     0 |  9    6    0    9    2
May 10 21:09:06 ubuntu dstat.sh[73395]: 10-05 21:09:06| 17  20  60   2   0|1033M 1229M  201M 5284M|  74k 6629 |   0  8636k|   0   397 |4243  6817 |1.39 1.10 0.74|2.0   0 319|   0     0 |   0     0 |  9    6    0    9    2
May 10 21:09:07 ubuntu dstat.sh[73395]: 10-05 21:09:07| 39  16  44   1   0|1100M 1161M  201M 5285M| 464k   17k| 196k 2583k|2.99  83.8 |4445  9753 |1.39 1.10 0.74|3.0   0 188|   0     0 |   0     0 |  9    7    0    9    2
May 10 21:09:08 ubuntu dstat.sh[73395]: 10-05 21:09:08| 48   5  46   1   0|1200M 1059M  201M 5286M| 556k   16k| 149k 1068k|5.02  18.1 |2110  1981 |1.39 1.10 0.74|2.0 1.0 1.0|   0     0 |   0     0 |  9    7    0    9    2
May 10 21:09:09 ubuntu dstat.sh[73395]: 10-05 21:09:09| 49   3  47   0   0|1238M 1020M  201M 5287M|  77k 7694 | 352k 1056k|6.00  33.0 |1482  1403 |1.39 1.10 0.74|2.0   0   0|   0     0 |   0     0 |  9    7    0    9    2
May 10 21:09:10 ubuntu dstat.sh[73395]: 10-05 21:09:10| 37  12  48   0   0|1263M  992M  201M 5290M| 149k 9212 |   0  3880k|   0  39.0 |2734  7990 |1.51 1.13 0.75|1.0   0 144|   0     0 |   0     0 |  9    6    0   10    2
May 10 21:09:11 ubuntu dstat.sh[73395]: 10-05 21:09:11| 27   4  68   1   0|1320M  935M  201M 5290M| 123k 8209 |   0   536k|   0  9.01 |1254  1343 |1.51 1.13 0.75|3.0   0 1.0|   0     0 |   0     0 |  9    6    0   10    2
May 10 21:09:12 ubuntu dstat.sh[73395]: 10-05 21:09:12| 30   2  67   1   0|1352M  902M  201M 5290M| 100k 6706 |   0   488k|   0  6.00 |1190  1307 |1.51 1.13 0.75|1.0   0 3.0|   0     0 |   0     0 |  9    6    0   10    2
May 10 21:09:13 ubuntu dstat.sh[73395]: 10-05 21:09:13| 30   3  63   3   0|1369M  885M  201M 5291M| 205k   70k|   0  1653k|   0   163 |3171  5161 |1.51 1.13 0.75|1.0   0 4.0|   0     0 |   0     0 |  9   12    0   10    2
May 10 21:09:14 ubuntu dstat.sh[73395]: 10-05 21:09:14| 29   5  64   1   0|1281M  973M  201M 5291M|  45k 5334 |   0  2476k|   0   141 |1726  2310 |1.51 1.13 0.75|1.0   0  44|   0     0 |   0     0 |  9    6    0   12    2
May 10 21:09:15 ubuntu dstat.sh[73395]: 10-05 21:09:15| 20   3  64  12   0|1299M  954M  201M 5291M|  75k 6223 | 120k   19M|20.0   498 |2226  1804 |1.51 1.13 0.75|2.0   0 1.0|   0     0 |   0     0 |  9    6    0   12    2
May 10 21:09:16 ubuntu dstat.sh[73395]: 10-05 21:09:16| 37   7  47   8   0|1329M  917M  202M 5297M|  88k   78k|  40k  943k|9.99  23.0 |2687  4000 |1.55 1.14 0.76|1.0 1.0 7.0|   0     0 |   0     0 |  9   18    0   12    2
May 10 21:09:17 ubuntu dstat.sh[73395]: 10-05 21:09:17| 24   3  50  23   0|1317M  928M  202M 5297M|9268  1621 | 160k 1353k|40.0  23.0 |1316  1519 |1.55 1.14 0.76|1.0 1.0 2.0|   0     0 |   0     0 |  9   18    0   12    2
May 10 21:09:18 ubuntu dstat.sh[73395]: 10-05 21:09:18| 38   8  51   3   0|1314M  911M  202M 5315M|  53k   48k|  16k 2228k|4.00  90.0 |1976  2581 |1.55 1.14 0.76|2.0   0  48|   0     0 |   0     0 |  9   32    0   12    2
May 10 21:09:19 ubuntu dstat.sh[73395]: 10-05 21:09:19| 40   6  50   3   0|1333M  880M  203M 5324M|  58k   51k|   0  2396k|   0  95.0 |1779  2118 |1.55 1.14 0.76|2.0   0   0|   0     0 |   0     0 |  9   33    0    9    2
May 10 21:09:20 ubuntu dstat.sh[73395]: 10-05 21:09:20| 48  14  36   3   0|1342M  857M  204M 5336M|  19k   11k|   0  6600k|   0  86.0 |2194  2869 |1.55 1.14 0.76|3.0   0 159|   0     0 |   0     0 |  9   32    0    9    2
May 10 21:09:21 ubuntu dstat.sh[73395]: 10-05 21:09:21| 60  10  28   2   1|1399M  781M  204M 5354M| 180k  172k|   0  1700k|   0  60.0 |2232  3275 |1.67 1.17 0.77|5.0   0 1.0|   0     0 |   0     0 |  9   35    0   10    2
May 10 21:09:22 ubuntu dstat.sh[73395]: 10-05 21:09:22| 52  16  29   3   0|1338M  838M  205M 5356M| 553k  547k|  28k 1640k|2.00  71.0 |4921    10k|1.67 1.17 0.77|6.0   0 333|   0     0 |   0     0 |  9   37    0   11    2
May 10 21:09:23 ubuntu dstat.sh[73395]: 10-05 21:09:23| 84  16   0   0   0|1498M  679M  205M 5355M|  48k   41k|   0   672k|   0  28.0 |2366  3384 |1.67 1.17 0.77|8.0   0 221|   0     0 |   0     0 |  9   35    0   11    3
May 10 21:09:24 ubuntu dstat.sh[73395]: 10-05 21:09:24| 87  12   0   0   0|1560M  636M  205M 5336M| 527k  519k|   0  2007k|   0  84.1 |4262  8839 |1.67 1.17 0.77| 10   0  43|   0     0 |   0     0 |  9   35    0   11    0
