-- Logs begin at Thu 2023-06-22 19:28:11 UTC, end at Thu 2023-06-22 21:08:52 UTC. --
Jun 22 20:45:13 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Jun 22 20:45:13 ubuntu dstat.sh[103415]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Jun 22 20:45:13 ubuntu dstat.sh[103415]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jun 22 20:45:13 ubuntu dstat.sh[103415]: 22-06 20:45:13|                   | 880M 1308M  199M 5228M|           |           |           |           |1.35 0.93 0.53|3.0   0    |           |   0     0 |  8    4    0    8    2
Jun 22 20:45:14 ubuntu dstat.sh[103415]: 22-06 20:45:14|  9  19  69   1   0| 880M 1308M  199M 5228M| 218k 9925 |   0   942k|   0  23.0 |2779  4043 |1.35 0.93 0.53|2.5   0 354|   0     0 |   0     0 |  8    4    0    8    2
Jun 22 20:45:15 ubuntu dstat.sh[103415]: 22-06 20:45:15| 15  19  65   1   0| 882M 1305M  199M 5228M|  88k 7368 |   0   480k|   0  19.0 |2586  3866 |1.35 0.93 0.53|2.0   0 341|   0     0 |   0     0 |  8    4    0    8    2
Jun 22 20:45:16 ubuntu dstat.sh[103415]: 22-06 20:45:16| 18  15  63   1   0| 864M 1322M  199M 5229M| 166k 8230 |   0   543k|   0  14.0 |3161  6209 |1.32 0.93 0.53|1.0   0 215|   0     0 |   0     0 |  8    4    0    8    2
Jun 22 20:45:17 ubuntu dstat.sh[103415]: 22-06 20:45:17| 22  14  62   0   0|1006M 1180M  199M 5352M| 147k 8000 |   0   528k|   0  9.00 |4389    11k|1.32 0.93 0.53|  0   0 108|   0     0 |   0     0 |  9    4    0    8    2
Jun 22 20:45:18 ubuntu dstat.sh[103415]: 22-06 20:45:18| 10   7  83   1   0|1011M 1174M  199M 5352M|  49k 6547 |   0  9585k|   0  40.0 |1540  2089 |1.32 0.93 0.53|1.0   0  83|   0     0 |   0     0 |  9    6    0    7    2
Jun 22 20:45:19 ubuntu dstat.sh[103415]: 22-06 20:45:19| 20   9  71   1   0|1011M 1173M  199M 5352M|  78k 6721 |   0   873k|   0  18.0 |1735  2281 |1.32 0.93 0.53|3.0   0 132|   0     0 |   0     0 |  9    6    0    7    2
Jun 22 20:45:20 ubuntu dstat.sh[103415]: 22-06 20:45:20| 20   6  70   1   0|1047M 1138M  199M 5352M|  67k   18k|   0  1027k|   0  36.0 |1698  2374 |1.32 0.93 0.53|1.0   0  74|   0     0 |   0     0 |  9    6    0    9    2
Jun 22 20:45:21 ubuntu dstat.sh[103415]: 22-06 20:45:21| 29   5  66   2   0|1070M 1114M  199M 5354M|  59k 6151 |  44k 1442k|6.01  17.0 |1279  1520 |1.30 0.93 0.53|1.0   0   0|   0     0 |   0     0 |  9    6    0    9    2
Jun 22 20:45:22 ubuntu dstat.sh[103415]: 22-06 20:45:22| 22   2  69   6   0|1096M 1086M  199M 5354M|  86k   16k|   0  2723k|   0   211 |2606  4182 |1.30 0.93 0.53|  0 1.0 4.0|   0     0 |   0     0 |  9    8    0    9    2
Jun 22 20:45:23 ubuntu dstat.sh[103415]: 22-06 20:45:23|  7   4  63  24   0|1097M 1082M  200M 5357M| 110k   12k|   0    15M|   0   945 |6161    11k|1.30 0.93 0.53|1.0 1.0 7.0|   0     0 |   0     0 |  9    8    0    9    2
Jun 22 20:45:24 ubuntu dstat.sh[103415]: 22-06 20:45:24|  9   4  65  20   0|1103M 1073M  200M 5359M| 638k   23k|   0  8912k|   0   756 |6237    10k|1.30 0.93 0.53|  0 1.0  19|   0     0 |   0     0 |  9    8    0    9    2
Jun 22 20:45:25 ubuntu dstat.sh[103415]: 22-06 20:45:25| 11   5  60  24   0|1104M 1069M  200M 5362M| 869k   29k|   0    16M|   0  1113 |7840    13k|1.30 0.93 0.53|  0 1.0  13|   0     0 |   0     0 |  9    8    0    9    2
Jun 22 20:45:26 ubuntu dstat.sh[103415]: 22-06 20:45:26| 16   5  58  22   0|1108M 1063M  201M 5364M| 284k   18k|   0    18M|   0  1200 |7392    12k|1.35 0.95 0.54|  0 1.0  13|   0     0 |   0     0 |  9    8    0    9    2
Jun 22 20:45:27 ubuntu dstat.sh[103415]: 22-06 20:45:27| 11   3  62  22   0|1108M 1060M  201M 5367M| 546k   22k|   0    13M|   0   958 |6941    12k|1.35 0.95 0.54|1.0 1.0 5.0|   0     0 |   0     0 |  9    8    0    9    2
Jun 22 20:45:28 ubuntu dstat.sh[103415]: 22-06 20:45:28| 20   4  63  11   0|1018M 1149M  201M 5367M|  84k   11k|   0    10M|   0   730 |4701  7549 |1.35 0.95 0.54|1.0   0  49|   0     0 |   0     0 |  9    6    0    9    2
Jun 22 20:45:29 ubuntu dstat.sh[103415]: 22-06 20:45:29| 24   6  67   1   0|1066M 1101M  201M 5367M|  57k 5995 |   0    35M|   0   273 |1778  1628 |1.35 0.95 0.54|1.0   0  41|   0     0 |   0     0 |  9    6    0    9    2
Jun 22 20:45:30 ubuntu dstat.sh[103415]: 22-06 20:45:30| 30   3  66   1   0|1114M 1051M  201M 5369M| 339k   11k|   0  1065k|   0  26.0 |1492  1490 |1.35 0.95 0.54|2.0   0 4.0|   0     0 |   0     0 |  9    6    0    9    2
Jun 22 20:45:31 ubuntu dstat.sh[103415]: 22-06 20:45:31| 29   4  66   1   0|1038M 1125M  201M 5371M| 824k   23k|   0  3954k|   0   215 |2776  2947 |1.41 0.97 0.55|1.0   0  13|   0     0 |   0     0 |  9    6    0    9    2
Jun 22 20:45:32 ubuntu dstat.sh[103415]: 22-06 20:45:32| 31   6  61   1   0|1090M 1067M  202M 5375M|  97k 5163 |   0  1740k|   0  17.0 |1346  1402 |1.41 0.97 0.55|1.0   0 2.0|   0     0 |   0     0 |  9    6    0    9    2
Jun 22 20:45:33 ubuntu dstat.sh[103415]: 22-06 20:45:33| 30   3  67   1   0|1019M 1138M  202M 5376M| 463k   16k|   0   700k|   0  9.00 |1799  1737 |1.41 0.97 0.55|2.0   0  42|   0     0 |   0     0 |  9    6    0    9    2
Jun 22 20:45:34 ubuntu dstat.sh[103415]: 22-06 20:45:34| 14  19  65   1   0|1022M 1134M  202M 5377M| 629k   18k|   0  7246k|   0   298 |3881  4907 |1.41 0.97 0.55|1.0   0 383|   0     0 |   0     0 |  9    6    0    9    2
Jun 22 20:45:35 ubuntu dstat.sh[103415]: 22-06 20:45:35| 15  19  64   0   0|1023M 1132M  202M 5377M|  53k 5863 |   0   476k|   0  17.0 |2751  5938 |1.41 0.97 0.55|1.0   0 284|   0     0 |   0     0 |  9    6    0    9    2
Jun 22 20:45:36 ubuntu dstat.sh[103415]: 22-06 20:45:36| 32  18  50   1   0|1087M 1068M  202M 5377M| 122k 8931 |   0   461k|   0  9.01 |3312  7127 |1.37 0.97 0.55|4.0   0 191|   0     0 |   0     0 |  9    7    0    9    2
Jun 22 20:45:37 ubuntu dstat.sh[103415]: 22-06 20:45:37| 51   5  43   1   0|1184M  971M  202M 5378M|  96k 6298 |   0   455k|   0  8.99 |1450  1351 |1.37 0.97 0.55|2.0   0   0|   0     0 |   0     0 |  9    7    0    9    2
Jun 22 20:45:38 ubuntu dstat.sh[103415]: 22-06 20:45:38| 55   3  41   1   0|1220M  934M  202M 5378M| 168k 9730 |   0   665k|   0  7.01 |1501  1359 |1.37 0.97 0.55|2.0   0 3.0|   0     0 |   0     0 |  9    7    0    9    2
Jun 22 20:45:39 ubuntu dstat.sh[103415]: 22-06 20:45:39| 47   8  44   1   0|1251M  900M  202M 5381M| 167k 8928 |   0  4286k|   0  57.0 |2372  5954 |1.37 0.97 0.55|1.0   0  68|   0     0 |   0     0 |  9    6    0   10    2
Jun 22 20:45:40 ubuntu dstat.sh[103415]: 22-06 20:45:40| 33  10  57   0   0|1289M  861M  202M 5381M|  28k 3293 |   0   356k|   0  7.00 |1776  2752 |1.37 0.97 0.55|2.0   0  75|   0     0 |   0     0 |  9    6    0   10    2
Jun 22 20:45:41 ubuntu dstat.sh[103415]: 22-06 20:45:41| 28   2  69   0   0|1333M  816M  202M 5381M|  79k 7117 |   0   284k|   0  5.99 |1202  1305 |1.34 0.97 0.55|1.0   0   0|   0     0 |   0     0 |  9    6    0   10    2
Jun 22 20:45:42 ubuntu dstat.sh[103415]: 22-06 20:45:42| 36   3  60   1   0|1367M  782M  202M 5382M|  63k   33k|   0   692k|   0  42.0 |1750  2445 |1.34 0.97 0.55|3.0   0 3.0|   0     0 |   0     0 |  9   12    0   10    2
Jun 22 20:45:43 ubuntu dstat.sh[103415]: 22-06 20:45:43| 42   9  47   2   0|1256M  889M  203M 5385M|  43k   35k|   0  4036k|   0   262 |3253  6570 |1.34 0.97 0.55|2.0   0  47|   0     0 |   0     0 |  9    6    0   12    2
Jun 22 20:45:44 ubuntu dstat.sh[103415]: 22-06 20:45:44| 36   6  49  10   0|1278M  863M  203M 5388M|  12k 1621 |  52k   13M|13.0   121 |1543  1608 |1.34 0.97 0.55|2.0   0 3.0|   0     0 |   0     0 |  9    6    0   12    2
Jun 22 20:45:45 ubuntu dstat.sh[103415]: 22-06 20:45:45| 37   5  48   8   0|1311M  811M  203M 5406M|  90k   78k|  32k 3045k|7.99  92.9 |2005  2994 |1.34 0.97 0.55|2.0 1.0 2.0|   0     0 |   0     0 |  9   18    0    9    2
Jun 22 20:45:46 ubuntu dstat.sh[103415]: 22-06 20:45:46| 32   7  49  13   0|1261M  851M  204M 5413M|  69k   48k| 184k 2066k|46.1  72.1 |1952  2532 |1.48 1.00 0.57|2.0   0  43|   0     0 |   0     0 |  9   32    0    9    2
Jun 22 20:45:47 ubuntu dstat.sh[103415]: 22-06 20:45:47| 37   7  49   6   0|1310M  790M  205M 5422M|  12k 1660 |   0  1806k|   0  77.9 |1482  1815 |1.48 1.00 0.57|2.0   0 5.0|   0     0 |   0     0 |  9   32    0    9    2
Jun 22 20:45:48 ubuntu dstat.sh[103415]: 22-06 20:45:48| 40  12  44   4   0|1276M  802M  205M 5442M|  71k   60k|   0  1545k|   0  51.0 |2073  3203 |1.48 1.00 0.57|3.0   0 159|   0     0 |   0     0 |  9   32    0    9    2
Jun 22 20:45:49 ubuntu dstat.sh[103415]: 22-06 20:45:49| 52  11  34   3   1|1369M  703M  206M 5446M|  10k 1853 |   0  2385k|   0  45.0 |1567  1580 |1.48 1.00 0.57|2.0   0 3.0|   0     0 |   0     0 |  9   33    0    9    2
Jun 22 20:45:50 ubuntu dstat.sh[103415]: 22-06 20:45:50| 45   7  47   1   0|1391M  682M  206M 5446M| 572k  557k|   0   636k|   0  47.0 |4269  8834 |1.48 1.00 0.57|2.0   0 2.0|   0     0 |   0     0 |  9   39    0   11    2
