-- Logs begin at Tue 2023-03-28 08:27:28 UTC, end at Tue 2023-03-28 15:58:27 UTC. --
Mar 28 15:19:48 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Mar 28 15:19:48 ubuntu dstat.sh[74722]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Mar 28 15:19:48 ubuntu dstat.sh[74722]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Mar 28 15:19:48 ubuntu dstat.sh[74722]: 28-03 15:19:48|                   | 947M 1157M  196M 5323M|           |           |           |           |0.84 0.77 0.55|2.0   0    |           |   0     0 |  8    6    0    9    2
Mar 28 15:19:49 ubuntu dstat.sh[74722]: 28-03 15:19:49| 11  19  69   0   0| 948M 1156M  196M 5323M| 229k 8868 |   0    10M|   0  52.9 |2603  4247 |0.80 0.76 0.55|3.0   0 371|   0     0 |   0     0 |  8    6    0    9    2
Mar 28 15:19:50 ubuntu dstat.sh[74722]: 28-03 15:19:50| 17  17  64   0   0| 959M 1143M  196M 5325M| 645k   14k|   0   481k|   0  34.4 |3004  4906 |0.77 0.75 0.54| 17   0 354|   0     0 |   0     0 |  8    6    0    9    2
Mar 28 15:19:51 ubuntu dstat.sh[74722]: 28-03 15:19:51| 33  18  48   1   0| 912M 1189M  196M 5326M| 543k   11k|   0  1799k|   0  18.1 |2921  5731 |0.77 0.75 0.54|2.0   0 212|   0     0 |   0     0 |  8    4    0    8    2
Mar 28 15:19:52 ubuntu dstat.sh[74722]: 28-03 15:19:52| 39  17  44   1   0|1075M 1025M  196M 5448M|  98k 7252 |   0   456k|   0  9.00 |3724  8596 |0.77 0.75 0.54|2.0   0 126|   0     0 |   0     0 |  9    6    0    8    2
Mar 28 15:19:53 ubuntu dstat.sh[74722]: 28-03 15:19:53| 26   8  66   0   1|1076M 1024M  196M 5448M|  87k 6766 |   0   460k|   0  18.0 |1590  1903 |0.77 0.75 0.54|1.0   0  83|   0     0 |   0     0 |  9    7    0    8    2
Mar 28 15:19:54 ubuntu dstat.sh[74722]: 28-03 15:19:54| 23  10  64   2   0|1115M  985M  196M 5448M| 120k   21k|  20k 4912k|2.00   202 |2244  3023 |0.79 0.76 0.55|2.0   0 156|   0     0 |   0     0 |  9    7    0   10    2
Mar 28 15:19:55 ubuntu dstat.sh[74722]: 28-03 15:19:55| 29   3  66   2   0|1155M  942M  196M 5450M| 657k   20k| 176k 1676k|12.0  7.00 |1795  1663 |0.79 0.76 0.55|1.0   0 1.0|   0     0 |   0     0 |  9    8    0   10    2
Mar 28 15:19:56 ubuntu dstat.sh[74722]: 28-03 15:19:56| 22   4  68   5   0|1161M  933M  196M 5453M|1025k   38k|  12k 3233k|1.00   190 |3441  4577 |0.79 0.76 0.55|1.0   0 2.0|   0     0 |   0     0 |  9   10    0   10    2
Mar 28 15:19:57 ubuntu dstat.sh[74722]: 28-03 15:19:57| 12   3  57  24   0|1166M  925M  197M 5456M| 745k   26k|   0    13M|   0   963 |6581    11k|0.79 0.76 0.55|1.0   0  10|   0     0 |   0     0 |  9   10    0   10    2
Mar 28 15:19:58 ubuntu dstat.sh[74722]: 28-03 15:19:58| 10   4  65  20   0|1173M  914M  197M 5460M| 761k   22k|   0  7545k|   0   622 |5636  9365 |0.79 0.76 0.55|3.0 1.0  19|   0     0 |   0     0 |  9   10    0   10    2
Mar 28 15:19:59 ubuntu dstat.sh[74722]: 28-03 15:19:59| 24   6  50  21   0|1154M  930M  197M 5462M| 399k   14k|   0    41M|   0   793 |5629  9156 |1.05 0.81 0.57|2.0 1.0  19|   0     0 |   0     0 |  9    8    0   10    2
Mar 28 15:20:00 ubuntu dstat.sh[74722]: 28-03 15:20:00| 32   4  43  20   1|1183M  898M  198M 5464M| 107k   13k|   0  7816k|   0   686 |5245  9333 |1.05 0.81 0.57|2.0 1.0  19|   0     0 |   0     0 |  9    8    0   10    2
Mar 28 15:20:01 ubuntu dstat.sh[74722]: 28-03 15:20:01| 28   5  52  14   0|1179M  898M  198M 5468M|  33k   11k|   0  6667k|   0   520 |4128  7656 |1.05 0.81 0.57|1.0   0  15|   0     0 |   0     0 |  9    9    0   10    2
Mar 28 15:20:02 ubuntu dstat.sh[74722]: 28-03 15:20:02| 24   7  68   1   0|1128M  948M  198M 5468M| 317k   14k|   0  1157k|   0  30.0 |1892  2163 |1.05 0.81 0.57|2.0   0  77|   0     0 |   0     0 |  9    7    0   10    2
Mar 28 15:20:03 ubuntu dstat.sh[74722]: 28-03 15:20:03| 33   3  63   1   0|1176M  897M  199M 5471M| 903k   24k|   0  1160k|   0  6.00 |2130  1794 |1.05 0.81 0.57|2.0   0 1.0|   0     0 |   0     0 |  9    8    0   10    2
Mar 28 15:20:04 ubuntu dstat.sh[74722]: 28-03 15:20:04| 35   6  56   2   0|1103M  966M  199M 5474M| 114k 8015 |   0    15M|   0   690 |2850  3061 |1.12 0.83 0.57|2.0   0  14|   0     0 |   0     0 |  9    8    0   10    2
Mar 28 15:20:05 ubuntu dstat.sh[74722]: 28-03 15:20:05| 29   4  65   2   0|1163M  905M  199M 5475M| 660k   20k|   0  7996k|   0   420 |2575  3379 |1.12 0.83 0.57|1.0   0 1.0|   0     0 |   0     0 |  9    8    0   10    2
Mar 28 15:20:06 ubuntu dstat.sh[74722]: 28-03 15:20:06| 29   2  68   2   0|1093M  974M  199M 5476M| 620k   16k|   0  7658k|   0   400 |2429  3189 |1.12 0.83 0.57|2.0   0  28|   0     0 |   0     0 |  9    8    0   10    2
Mar 28 15:20:07 ubuntu dstat.sh[74722]: 28-03 15:20:07| 13  20  65   2   0|1094M  972M  200M 5477M| 358k   11k|   0  7819k|   0   407 |3835  6308 |1.12 0.83 0.57|1.0   0 391|   0     0 |   0     0 |  9    8    0   10    2
Mar 28 15:20:08 ubuntu dstat.sh[74722]: 28-03 15:20:08| 18  17  61   1   0|1096M  968M  200M 5478M| 435k   18k|   0  1196k|   0  56.0 |3945  6341 |1.12 0.83 0.57|1.0   0 288|   0     0 |   0     0 |  9    8    0   10    2
Mar 28 15:20:09 ubuntu dstat.sh[74722]: 28-03 15:20:09| 40  19  39   0   0|1114M  949M  200M 5479M| 286k   14k| 324k 8680k|4.00  39.0 |3993  5802 |1.27 0.87 0.59|3.0   0 185|   0     0 |   0     0 |  9    7    0   10    2
Mar 28 15:20:10 ubuntu dstat.sh[74722]: 28-03 15:20:10| 51   5  43   1   1|1201M  861M  200M 5480M| 103k 6731 |  20k  285k|4.01  6.01 |1496  1348 |1.27 0.87 0.59|3.0   0 1.0|   0     0 |   0     0 |  9    7    0   10    2
Mar 28 15:20:11 ubuntu dstat.sh[74722]: 28-03 15:20:11| 57   6  37   0   0|1236M  825M  200M 5481M| 147k 6959 | 352k  484k|4.00  7.00 |1583  1356 |1.27 0.87 0.59|3.0   0 3.0|   0     0 |   0     0 |  9    7    0   10    2
Mar 28 15:20:12 ubuntu dstat.sh[74722]: 28-03 15:20:12| 40  13  46   0   0|1261M  798M  200M 5483M|  41k 5884 |   0  1232k|   0  24.0 |3125  8029 |1.27 0.87 0.59|1.0   0 145|   0     0 |   0     0 |  9    6    0   11    2
Mar 28 15:20:13 ubuntu dstat.sh[74722]: 28-03 15:20:13| 24   3  71   0   0|1312M  747M  200M 5483M|  41k 4526 |   0   264k|   0  6.00 |1257  1343 |1.27 0.87 0.59|2.0   0 1.0|   0     0 |   0     0 |  9    6    0   11    2
Mar 28 15:20:14 ubuntu dstat.sh[74722]: 28-03 15:20:14| 34   4  62   0   0|1361M  697M  200M 5484M| 272k   10k|   0  4499k|   0  22.0 |1460  1421 |1.25 0.87 0.59|3.0   0 2.0|   0     0 |   0     0 |  9    6    0   11    2
Mar 28 15:20:15 ubuntu dstat.sh[74722]: 28-03 15:20:15| 42   9  48   2   0|1367M  686M  201M 5487M|  76k   64k|   0  2853k|   0   152 |3676  6425 |1.25 0.87 0.59|3.0   0 6.0|   0     0 |   0     0 |  9   12    0   11    2
Mar 28 15:20:16 ubuntu dstat.sh[74722]: 28-03 15:20:16| 45   7  48   1   0|1284M  768M  201M 5488M|  15k 2132 |   0  3041k|   0   153 |1849  2434 |1.25 0.87 0.59|3.0   0  45|   0     0 |   0     0 |  9    6    0   12    2
Mar 28 15:20:17 ubuntu dstat.sh[74722]: 28-03 15:20:17| 40   8  49   1   0|1319M  711M  201M 5507M|  31k   11k|  64k 2848k|5.99  89.9 |1395  1831 |1.25 0.87 0.59|3.0   0 2.0|   0     0 |   0     0 |  9   13    0   12    2
Mar 28 15:20:18 ubuntu dstat.sh[74722]: 28-03 15:20:18| 38   6  49   7   0|1332M  683M  202M 5519M| 126k  115k| 216k 3621k|54.0   117 |2101  3137 |1.25 0.87 0.59|3.0   0 3.0|   0     0 |   0     0 |  9   32    0    9    2
Mar 28 15:20:19 ubuntu dstat.sh[74722]: 28-03 15:20:19| 43   8  49   1   0|1312M  677M  203M 5542M|  14k 1568 |   0  5783k|   0   104 |1685  2074 |1.31 0.89 0.60|3.0   0  47|   0     0 |   0     0 |  9   32    0    9    2
Mar 28 15:20:20 ubuntu dstat.sh[74722]: 28-03 15:20:20| 35   5  59   0   0|1333M  648M  204M 5548M|  70k   61k|   0  1833k|   0  51.9 |1492  1985 |1.31 0.89 0.60|2.0   0 1.0|   0     0 |   0     0 |  9   33    0    9    2
