-- Logs begin at Fri 2023-06-16 09:57:45 UTC, end at Fri 2023-06-16 14:39:19 UTC. --
Jun 16 14:30:36 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Jun 16 14:30:36 ubuntu dstat.sh[100875]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Jun 16 14:30:36 ubuntu dstat.sh[100875]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jun 16 14:30:36 ubuntu dstat.sh[100875]: 16-06 14:30:36|                   | 872M 1315M  198M 5228M|           |           |           |           |1.17 0.86 0.62| 10   0    |           |   0     0 |  7    4    0    9    2
Jun 16 14:30:37 ubuntu dstat.sh[100875]: 16-06 14:30:37| 19  35  42   1   0| 873M 1314M  198M 5228M| 164k 9152 |   0  2026k|   0   117 |4871  9481 |1.17 0.86 0.62|6.0   0 1.2|   0     0 |   0     0 |  7    4    0    9    2
Jun 16 14:30:38 ubuntu dstat.sh[100875]: 16-06 14:30:38| 31  28  38   0   0| 863M 1323M  198M 5230M| 150k 8031 |   0  1016k|   0  79.9 |5606    14k|1.17 0.86 0.62|2.0   0 918|   0     0 |   0     0 |  7    4    0    9    2
Jun 16 14:30:39 ubuntu dstat.sh[100875]: 16-06 14:30:39| 27  23  47   0   0| 864M 1321M  198M 5230M|  52k 5064 |   0    10M|   0  57.0 |  19k   42k|1.16 0.86 0.63|3.0   0 213|   0     0 |   0     0 |  8    4    0    9    2
Jun 16 14:30:40 ubuntu dstat.sh[100875]: 16-06 14:30:40| 15  16  68   1   0|1013M 1171M  198M 5352M|  76k 7468 |   0   644k|   0  18.0 |3080  5133 |1.16 0.86 0.63|2.0 1.0 357|   0     0 |   0     0 |  9    6    0    8    2
Jun 16 14:30:41 ubuntu dstat.sh[100875]: 16-06 14:30:41| 21   8  69   0   0|1010M 1174M  198M 5352M|  71k 6631 |   0   412k|   0  17.0 |1686  2111 |1.16 0.86 0.63|3.0   0 110|   0     0 |   0     0 |  9    6    0    8    2
Jun 16 14:30:42 ubuntu dstat.sh[100875]: 16-06 14:30:42| 25   7  66   1   0|1052M 1132M  199M 5353M|  55k   17k|   0   975k|   0  36.0 |1734  2498 |1.16 0.86 0.63|1.0   0  93|   0     0 |   0     0 |  9    6    0   10    2
Jun 16 14:30:43 ubuntu dstat.sh[100875]: 16-06 14:30:43| 22   6  70   2   0|1076M 1106M  199M 5354M|  68k 6270 |  44k 1682k|6.01  18.0 |1301  1561 |1.16 0.86 0.63|1.0   0   0|   0     0 |   0     0 |  9    6    0   10    2
Jun 16 14:30:44 ubuntu dstat.sh[100875]: 16-06 14:30:44| 16   2  66  13   0|1095M 1086M  199M 5355M| 112k   18k|   0    12M|   0   735 |4015  6010 |1.15 0.87 0.63|  0 1.0 5.0|   0     0 |   0     0 |  9    8    0   10    2
Jun 16 14:30:45 ubuntu dstat.sh[100875]: 16-06 14:30:45|  9   3  65  20   0|1095M 1082M  199M 5358M| 679k   25k|   0    10M|   0   790 |6381    10k|1.15 0.87 0.63|  0 1.0 7.0|   0     0 |   0     0 |  9    8    0   10    2
Jun 16 14:30:46 ubuntu dstat.sh[100875]: 16-06 14:30:46| 10   3  62  22   0|1102M 1071M  200M 5361M| 887k   29k|   0    10M|   0   781 |6736    10k|1.15 0.87 0.63|  0 1.0  19|   0     0 |   0     0 |  9    8    0   10    2
Jun 16 14:30:47 ubuntu dstat.sh[100875]: 16-06 14:30:47| 15   6  53  25   0|1106M 1066M  200M 5363M| 221k   17k|   0    19M|   0  1246 |7560    12k|1.15 0.87 0.63|1.0 1.0  12|   0     0 |   0     0 |  9    8    0   10    2
Jun 16 14:30:48 ubuntu dstat.sh[100875]: 16-06 14:30:48| 12   4  60  22   1|1107M 1062M  200M 5365M| 547k   23k|   0    13M|   0  1045 |7275    12k|1.15 0.87 0.63|1.0 1.0  18|   0     0 |   0     0 |  9    8    0   10    2
Jun 16 14:30:49 ubuntu dstat.sh[100875]: 16-06 14:30:49| 10   4  60  24   0|1107M 1060M  201M 5367M|  81k   11k|   0    48M|   0  1143 |6346    10k|1.45 0.94 0.65|  0 1.0   0|   0     0 |   0     0 |  9    8    0   10    2
