-- Logs begin at Thu 2023-07-13 13:07:04 UTC, end at Thu 2023-07-13 14:59:11 UTC. --
Jul 13 14:23:13 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Jul 13 14:23:13 ubuntu dstat.sh[82492]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Jul 13 14:23:13 ubuntu dstat.sh[82492]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jul 13 14:23:13 ubuntu dstat.sh[82492]: 13-07 14:23:13|                   | 922M 1360M  196M 5132M|           |           |           |           |1.03 0.44 0.26|1.0   0    |           |   0     0 |  8    6    0    8    2
Jul 13 14:23:14 ubuntu dstat.sh[82492]: 13-07 14:23:14| 14  19  64   1   0| 905M 1375M  196M 5134M|1861k   25k|   0  5356k|   0  28.9 |3215  3894 |1.03 0.44 0.27|1.5   0 341|   0     0 |   0     0 |  8    5    0    8    3
Jul 13 14:23:15 ubuntu dstat.sh[82492]: 13-07 14:23:15| 15  18  66   1   0| 868M 1407M  196M 5139M|1521k   10k|   0   499k|   0  25.0 |3020  3968 |1.03 0.45 0.27|1.0   0 325|   0     0 |   0     0 |  8    4    0    8    2
Jul 13 14:23:16 ubuntu dstat.sh[82492]: 13-07 14:23:16| 20  16  63   1   1| 854M 1420M  196M 5140M| 515k 7718 |   0  2328k|   0  17.0 |3461  5584 |1.03 0.45 0.27|2.0   0 206|   0     0 |   0     0 |  8    4    0    8    2
Jul 13 14:23:17 ubuntu dstat.sh[82492]: 13-07 14:23:17| 23  14  61   0   0| 854M 1420M  196M 5140M| 175k 5217 |   0   444k|   0  7.00 |3527  7099 |1.03 0.45 0.27|2.0   0 110|   0     0 |   0     0 |  8    4    0    8    2
Jul 13 14:23:18 ubuntu dstat.sh[82492]: 13-07 14:23:18| 12  11  75   1   0| 994M 1279M  196M 5262M| 118k 6368 |   0  8331k|   0  34.0 |2654  4181 |1.03 0.45 0.27|2.0   0 109|   0     0 |   0     0 |  9    6    0    7    2
Jul 13 14:23:19 ubuntu dstat.sh[82492]: 13-07 14:23:19| 20   8  71   1   0| 994M 1278M  196M 5263M| 178k 6558 |   0   552k|   0  18.0 |1772  2165 |1.11 0.47 0.28|1.0   0 123|   0     0 |   0     0 |  9    6    0    7    2
Jul 13 14:23:20 ubuntu dstat.sh[82492]: 13-07 14:23:20| 21   7  68   4   0|1032M 1239M  196M 5264M| 203k   19k|  20k 1288k|2.00  35.0 |1863  2448 |1.11 0.47 0.28|2.0   0  90|   0     0 |   0     0 |  9    6    0    9    2
Jul 13 14:23:21 ubuntu dstat.sh[82492]: 13-07 14:23:21| 22   4  69   4   0|1061M 1208M  196M 5265M| 143k 5750 | 176k 1413k|12.0  16.0 |1327  1532 |1.11 0.47 0.28|1.0   0 1.0|   0     0 |   0     0 |  9    6    0    9    2
Jul 13 14:23:22 ubuntu dstat.sh[82492]: 13-07 14:23:22| 23   3  67   6   0|1082M 1186M  197M 5266M|  56k   15k|  12k 3680k|0.99   348 |3268  5207 |1.11 0.47 0.28|8.0   0 9.9|   0     0 |   0     0 |  9    8    0    9    2
