-- Logs begin at Thu 2023-06-15 10:23:09 UTC, end at Thu 2023-06-15 14:22:19 UTC. --
Jun 15 14:09:27 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Jun 15 14:09:27 ubuntu dstat.sh[96077]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Jun 15 14:09:27 ubuntu dstat.sh[96077]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jun 15 14:09:27 ubuntu dstat.sh[96077]: 15-06 14:09:27|                   | 932M 1263M  201M 5219M|           |           |           |           |1.30 0.91 0.61|1.0   0    |           |   0     0 |  8    6    0    8    2
Jun 15 14:09:28 ubuntu dstat.sh[96077]: 15-06 14:09:28| 12  18  67   1   0| 932M 1260M  201M 5221M|2176k   13k|   0  4480k|   0  37.1 |3062  4816 |1.30 0.91 0.61|1.5   0 371|   0     0 |   0     0 |  8    6    0    8    2
Jun 15 14:09:29 ubuntu dstat.sh[96077]: 15-06 14:09:29| 19  19  61   1   0| 879M 1308M  201M 5226M|1252k   10k|   0  9108k|   0   132 |3669  5386 |1.30 0.91 0.61|3.0   0 348|   0     0 |   0     0 |  8    4    0    7    2
Jun 15 14:09:30 ubuntu dstat.sh[96077]: 15-06 14:09:30| 18  18  61   0   0| 864M 1322M  201M 5227M| 231k 7368 |   0   639k|   0  13.0 |3285  6447 |1.30 0.91 0.61|1.0   0 233|   0     0 |   0     0 |  8    4    0    7    2
Jun 15 14:09:31 ubuntu dstat.sh[96077]: 15-06 14:09:31| 20  12  66   0   0|1007M 1179M  201M 5349M| 121k 6286 |   0   472k|   0  9.00 |3802  8266 |1.28 0.92 0.61|  0   0  79|   0     0 |   0     0 |  9    4    0    7    2
Jun 15 14:09:32 ubuntu dstat.sh[96077]: 15-06 14:09:32| 12   6  80   1   0|1016M 1170M  201M 5349M| 181k 7630 |   0   505k|   0  11.0 |1564  2110 |1.28 0.92 0.61|1.0   0  86|   0     0 |   0     0 |  9    6    0    7    2
Jun 15 14:09:33 ubuntu dstat.sh[96077]: 15-06 14:09:33| 18  12  67   1   0|1021M 1164M  201M 5349M| 169k   19k|   0   684k|   0  29.0 |2138  2979 |1.28 0.92 0.61|4.0   0 187|   0     0 |   0     0 |  9    6    0    9    2
Jun 15 14:09:34 ubuntu dstat.sh[96077]: 15-06 14:09:34| 31   7  62   1   0|1071M 1113M  201M 5350M| 167k 7415 |   0    11M|   0  76.9 |1964  6567 |1.28 0.92 0.61|1.0   0  50|   0     0 |   0     0 |  9    6    0   10    2
Jun 15 14:09:35 ubuntu dstat.sh[96077]: 15-06 14:09:35| 26   3  68   2   0|1076M 1106M  201M 5351M|  57k 5937 |  44k 1381k|6.01  17.0 |1276  1570 |1.28 0.92 0.61|1.0   0   0|   0     0 |   0     0 |  9    6    0    9    2
Jun 15 14:09:36 ubuntu dstat.sh[96077]: 15-06 14:09:36| 12   3  68  16   0|1095M 1087M  201M 5353M|  64k   17k|   0  5300k|   0   478 |4025  7570 |1.34 0.93 0.62|1.0 1.0  10|   0     0 |   0     0 |  9    8    0    9    2
Jun 15 14:09:37 ubuntu dstat.sh[96077]: 15-06 14:09:37|  7   2  62  24   0|1094M 1084M  201M 5356M|  70k   11k|   0    15M|   0  1040 |5811    11k|1.34 0.93 0.62|  0 1.0   0|   0     0 |   0     0 |  9    8    0    9    2
Jun 15 14:09:38 ubuntu dstat.sh[96077]: 15-06 14:09:38| 15   4  59  22   0|1100M 1076M  202M 5357M|  79k   12k|   0    10M|   0   832 |6254    10k|1.34 0.93 0.62|2.0   0  18|   0     0 |   0     0 |  9    8    0    9    2
