-- Logs begin at Tue 2023-01-10 23:34:18 UTC, end at Wed 2023-01-11 20:21:55 UTC. --
Jan 11 19:41:29 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Jan 11 19:41:29 ubuntu dstat.sh[90415]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Jan 11 19:41:29 ubuntu dstat.sh[90415]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jan 11 19:41:29 ubuntu dstat.sh[90415]: 11-01 19:41:29|                   | 915M 1264M  219M 5219M|           |           |           |           |1.24 0.51 0.31|3.0   0    |           |   0     0 |  8    5    0    8    2
Jan 11 19:41:30 ubuntu dstat.sh[90415]: 11-01 19:41:30| 25  21  53   0   0| 920M 1259M  219M 5219M| 130k 7068 |   0   540k|   0  16.0 |2746  4484 |1.24 0.51 0.31|2.5   0 428|   0     0 |   0     0 |  8    6    0    8    2
Jan 11 19:41:31 ubuntu dstat.sh[90415]: 11-01 19:41:31| 17  18  64   0   0| 886M 1292M  219M 5220M| 338k   13k|   0   524k|   0  15.0 |3076  5041 |1.24 0.51 0.31|1.0   0 365|   0     0 |   0     0 |  8    5    0    8    2
Jan 11 19:41:32 ubuntu dstat.sh[90415]: 11-01 19:41:32| 22  16  61   0   0| 888M 1290M  219M 5220M| 287k   12k|   0   288k|   0  9.99 |2961  5939 |1.38 0.56 0.32|3.0   0 205|   0     0 |   0     0 |  8    6    0    8    2
Jan 11 19:41:33 ubuntu dstat.sh[90415]: 11-01 19:41:33| 20  10  68   1   0|1034M 1143M  219M 5343M| 260k   11k|   0   692k|   0  6.00 |3333  6359 |1.38 0.56 0.32|  0   0  74|   0     0 |   0     0 |  9    6    0    8    2
Jan 11 19:41:34 ubuntu dstat.sh[90415]: 11-01 19:41:34| 18   9  72   0   0|1038M 1137M  219M 5344M| 623k   20k|   0    28k|   0  7.00 |2369  2716 |1.38 0.56 0.32|1.0   0 111|   0     0 |   0     0 |  9    8    0    8    2
Jan 11 19:41:35 ubuntu dstat.sh[90415]: 11-01 19:41:35| 16  11  71   0   0|1055M 1119M  219M 5346M| 871k   28k|   0   248k|   0  17.0 |2674  3366 |1.38 0.56 0.32|2.0   0 176|   0     0 |   0     0 |  9    8    0   10    2
Jan 11 19:41:36 ubuntu dstat.sh[90415]: 11-01 19:41:36| 25   4  71   0   0|1078M 1092M  219M 5349M|1431k   24k|  52k  717k|5.01  19.0 |2069  1626 |1.38 0.56 0.32|1.0   0   0|   0     0 |   0     0 |  9    8    0   10    2
Jan 11 19:41:37 ubuntu dstat.sh[90415]: 11-01 19:41:37| 29   3  67   1   0|1038M 1129M  219M 5352M|1202k 8624 | 144k 1938k|8.99  4.99 |1748  1368 |1.35 0.56 0.33|1.0   0   0|   0     0 |   0     0 |  9    6    0   10    2
Jan 11 19:41:38 ubuntu dstat.sh[90415]: 11-01 19:41:38| 14   3  68  14   0|1059M 1106M  220M 5354M| 777k   18k|  12k 7071k|1.00   527 |4622  7412 |1.35 0.56 0.33|  0 1.0  10|   0     0 |   0     0 |  9    8    0   10    2
Jan 11 19:41:39 ubuntu dstat.sh[90415]: 11-01 19:41:39|  7   4  68  20   0|1061M 1100M  220M 5358M| 779k   12k|   0    12M|   0   694 |5685  9675 |1.35 0.56 0.33|  0 1.0 2.0|   0     0 |   0     0 |  9    8    0   10    2
Jan 11 19:41:40 ubuntu dstat.sh[90415]: 11-01 19:41:40|  7   3  66  21   0|1067M 1090M  220M 5361M| 661k   18k|   0  7071k|   0   648 |6022  9794 |1.35 0.56 0.33|1.0   0  19|   0     0 |   0     0 |  9    8    0   10    2
Jan 11 19:41:41 ubuntu dstat.sh[90415]: 11-01 19:41:41|  6   3  68  20   0|1069M 1085M  221M 5364M| 900k   17k|   0  5949k|   0   630 |5964  9823 |1.35 0.56 0.33|1.0 1.0  24|   0     0 |   0     0 |  9    8    0   10    2
Jan 11 19:41:42 ubuntu dstat.sh[90415]: 11-01 19:41:42|  7   3  66  21   0|1074M 1076M  221M 5367M| 466k   11k|   0    19M|   0   756 |4608  8504 |1.49 0.60 0.34|  0 1.0 4.0|   0     0 |   0     0 |  9    8    0   10    2
Jan 11 19:41:43 ubuntu dstat.sh[90415]: 11-01 19:41:43| 15   2  67  13   0|1076M 1073M  221M 5368M| 230k   16k|   0  4339k|   0   431 |4220  7109 |1.49 0.60 0.34|1.0   0  14|   0     0 |   0     0 |  9    6    0   10    2
Jan 11 19:41:44 ubuntu dstat.sh[90415]: 11-01 19:41:44| 22   6  70   1   0|1023M 1126M  221M 5368M| 110k 6971 |   0   752k|   0  28.0 |1414  1890 |1.49 0.60 0.34|1.0   0  77|   0     0 |   0     0 |  9    6    0   10    2
Jan 11 19:41:45 ubuntu dstat.sh[90415]: 11-01 19:41:45| 26   3  70   1   0|1072M 1076M  221M 5368M| 202k   11k|   0  1065k|   0  32.0 |1293  1304 |1.49 0.60 0.34|2.0   0 1.0|   0     0 |   0     0 |  9    6    0   10    2
Jan 11 19:41:46 ubuntu dstat.sh[90415]: 11-01 19:41:46| 27   4  66   2   0|1014M 1133M  221M 5369M| 155k 8413 |   0  7539k|   0   403 |2444  3091 |1.49 0.60 0.34|1.0   0  12|   0     0 |   0     0 |  9    6    0   10    2
Jan 11 19:41:47 ubuntu dstat.sh[90415]: 11-01 19:41:47| 26   2  68   2   0|1073M 1074M  222M 5370M| 140k 8572 |   0  8671k|   0   415 |2446  3029 |1.45 0.61 0.35|1.0   0 1.0|   0     0 |   0     0 |  9    6    0   10    2
Jan 11 19:41:48 ubuntu dstat.sh[90415]: 11-01 19:41:48| 21   9  67   2   0| 983M 1164M  222M 5370M|  39k 5075 |   0  7626k|   0   419 |2951  4344 |1.45 0.61 0.35|1.0   0 169|   0     0 |   0     0 |  9    6    0   10    2
Jan 11 19:41:49 ubuntu dstat.sh[90415]: 11-01 19:41:49| 11  20  65   3   0| 984M 1163M  222M 5370M|  65k 6338 |   0  7818k|   0   401 |3852  6039 |1.45 0.61 0.35|1.0   0 367|   0     0 |   0     0 |  9    6    0   10    2
Jan 11 19:41:50 ubuntu dstat.sh[90415]: 11-01 19:41:50| 23  20  53   1   0| 988M 1158M  222M 5370M|  58k 5943 |   0  1648k|   0  94.0 |4520  9258 |1.45 0.61 0.35|1.0   0 207|   0     0 |   0     0 |  9    6    0   10    2
Jan 11 19:41:51 ubuntu dstat.sh[90415]: 11-01 19:41:51| 42  14  44   1   0|1095M 1051M  222M 5371M|  78k 7328 | 324k  589k|4.00  19.0 |2633  5150 |1.45 0.61 0.35|2.0   0 149|   0     0 |   0     0 |  9    7    0   10    2
Jan 11 19:41:52 ubuntu dstat.sh[90415]: 11-01 19:41:52| 47   4  48   1   0|1172M  972M  222M 5372M| 143k 9048 | 148k  784k|5.00  33.0 |1530  1537 |1.49 0.63 0.36|1.0 1.0 1.0|   0     0 |   0     0 |  9    7    0   10    2
Jan 11 19:41:53 ubuntu dstat.sh[90415]: 11-01 19:41:53| 49   4  45   1   0|1200M  943M  222M 5373M|  27k 4731 | 224k   34M|3.00   210 |1697  1465 |1.49 0.63 0.36|4.0   0   0|   0     0 |   0     0 |  9    7    0   10    2
Jan 11 19:41:54 ubuntu dstat.sh[90415]: 11-01 19:41:54| 34  13  53   0   0|1238M  901M  222M 5376M| 666k   20k|   0  1424k|   0  6.00 |3456  7290 |1.49 0.63 0.36|1.0   0 142|   0     0 |   0     0 |  9    6    0   11    2
Jan 11 19:41:55 ubuntu dstat.sh[90415]: 11-01 19:41:55| 24   4  71   0   0|1288M  850M  222M 5377M| 673k   19k|   0   132k|   0  3.00 |1677  1632 |1.49 0.63 0.36|1.0   0 1.0|   0     0 |   0     0 |  9    6    0   11    2
Jan 11 19:41:56 ubuntu dstat.sh[90415]: 11-01 19:41:56| 26   2  70   2   0|1313M  824M  222M 5377M| 382k   14k|   0  1031k|   0  6.00 |1318  1317 |1.49 0.63 0.36|1.0   0   0|   0     0 |   0     0 |  9    6    0   11    2
Jan 11 19:41:57 ubuntu dstat.sh[90415]: 11-01 19:41:57| 29   3  64   3   0|1329M  807M  222M 5379M| 549k   77k|   0  3289k|   0   237 |3627  5491 |1.53 0.66 0.37|1.0   0 2.0|   0     0 |   0     0 |  9   12    0    9    2
Jan 11 19:41:58 ubuntu dstat.sh[90415]: 11-01 19:41:58| 25   5  68   1   0|1250M  886M  222M 5379M| 106k 8167 |   0  8962k|   0   319 |1963  1791 |1.53 0.66 0.37|1.0   0  45|   0     0 |   0     0 |  9    6    0   11    2
Jan 11 19:41:59 ubuntu dstat.sh[90415]: 11-01 19:41:59| 26   4  71   1   0|1281M  855M  223M 5379M| 125k   63k|  64k 1165k|6.00  12.0 |1384  1906 |1.53 0.66 0.37|1.0   0 4.0|   0     0 |   0     0 |  9   15    0   11    2
Jan 11 19:42:00 ubuntu dstat.sh[90415]: 11-01 19:42:00| 22   3  69   5   0|1224M  910M  223M 5380M| 353k   77k| 216k 2334k|54.0  92.9 |2327  3019 |1.53 0.66 0.37|1.0   0  13|   0     0 |   0     0 |  9   32    0   11    2
Jan 11 19:42:01 ubuntu dstat.sh[90415]: 11-01 19:42:01| 26   6  67   0   0|1281M  853M  223M 5381M|  97k 6285 |   0   392k|   0  9.01 |1365  1624 |1.53 0.66 0.37|2.0   0  38|   0     0 |   0     0 |  9   32    0   11    2
Jan 11 19:42:02 ubuntu dstat.sh[90415]: 11-01 19:42:02| 33   7  60   0   0|1226M  905M  223M 5383M|  75k   62k|   0   524k|   0  5.00 |1553  2056 |1.57 0.68 0.37|1.0   0  50|   0     0 |   0     0 |  9   32    0   11    2
Jan 11 19:42:03 ubuntu dstat.sh[90415]: 11-01 19:42:03| 41   9  48   0   0|1314M  815M  223M 5384M| 776k   22k|   0  3742k|   0  47.0 |2696  2875 |1.57 0.68 0.37|3.0   0 112|   0     0 |   0     0 |  9   32    0   11    2
Jan 11 19:42:04 ubuntu dstat.sh[90415]: 11-01 19:42:04| 58   8  32   0   0|1367M  757M  223M 5388M| 526k  384k|   0  2163k|   0  38.9 |3348  5901 |1.57 0.68 0.37|2.0   0 4.0|   0     0 |   0     0 |  9   38    0   11    2
Jan 11 19:42:05 ubuntu dstat.sh[90415]: 11-01 19:42:05| 50  18  31   1   0|1296M  827M  223M 5390M| 752k  341k|  28k 1489k|2.01  71.2 |4229  8270 |1.57 0.68 0.37|4.0   0 345|   0     0 |   0     0 |  9   36    0   13    2
Jan 11 19:42:06 ubuntu dstat.sh[90415]: 11-01 19:42:06| 83  16   0   0   0|1477M  644M  223M 5390M| 624k   64k|   0  1382k|   0  34.0 |2895  3446 |1.57 0.68 0.37|6.0   0 200|   0     0 |   0     0 |  9   38    0   13    2
Jan 11 19:42:07 ubuntu dstat.sh[90415]: 11-01 19:42:07| 85  14   1   0   0|1526M  595M  223M 5391M| 675k  629k|   0  4395k|   0   235 |5033    17k|2.00 0.79 0.41|6.0   0  95|   0     0 |   0     0 |  9   38    0   13    2
